question_id,question,reference,context,our_answer_wo_context,our_answer_w_context,is_correct_wo_context,is_correct_w_context
4hop3__673447_132409_223216_35031,"Among the top five largest urban areas in the state Infest's performers were formed, what is the ranking of the city Pathology was formed in?",third-largest,"The city had a population of 1,307,402 according to the 2010 census, distributed over a land area of 372.1 square miles (963.7 km2). The urban area of San Diego extends beyond the administrative city limits and had a total population of 2,956,746, making it the third-largest urban area in the state, after that of the Los Angeles metropolitan area and San Francisco metropolitan area. They, along with the Riverside–San Bernardino, form those metropolitan areas in California larger than the San Diego metropolitan area, with a total population of 3,095,313 at the 2010 census.
Pathology is an American death metal band from San Diego, California, formed in 2006 by drummer Dave Astor (previously with The Locust and Cattle Decapitation). The band were signed to Victory Records for an over three-year period, but now are currently signed to Sevared Records, an independent New York-based death metal label.
Papa Roach is an American rock band from Vacaville, California, formed in 1993. The original lineup consisted of lead vocalist Jacoby Shaddix, guitarist Jerry Horton, drummer Dave Buckner, bassist Will James, and trombonist Ben Luther.
Infest is the second studio album and major-label debut by the American rock band Papa Roach. It was released on April 25, 2000 through DreamWorks Records, and became the 20th highest-selling album of 2000 in the United States. The sound of the album is nu metal and rap metal. Many of the album songs contains rapping and hip hop influences. It was certified 3× Platinum in the U.S. on July 18, 2001, and peaked at  5 on the ""Billboard"" 200 chart. This album earned the band a Grammy nomination for Best New Artist. ""Infest"" has sold more than seven million copies worldwide with three million in U.S. and is their best-selling album to date.",I don't have information on Infest or Pathology.,San Diego.,0,0
3hop1__604991_339990_54675,What mountain can you see from Portland in the state where Frozen Run's county is located?,Tualatin Mountains,"The Socialist Party of Oregon in Columbia County, Oregon began around the First Red Scare. The first year (1914) it went mainstream, the Socialist party had 27 more registered members than the Prohibition Party, who were some members of the Suffrage movement. The Socialist party was similar to the Progressive Party in the county, as it tried from the outskirts of government to make change. While Socialism failed its first year, it still received attention from the press who was aware of the October Revolution (1918) in Russia (Now the Soviet Union) by a similarly named government led by Vladimir Lenin.
Though much of downtown Portland is relatively flat, the foothills of the Tualatin Mountains, more commonly referred to locally as the ``West Hills '', pierce through the northwest and southwest reaches of the city. Council Crest Park, commonly thought of as the highest point within city limits, is in the West Hills and rises to an elevation of 1,073 feet (327 m) The city's actual high point is a little - known and infrequently accessed point (1,180 feet) near Forest Park. The highest point east of the river is Mt. Tabor, an extinct volcanic cinder cone, which rises to 636 feet (194 m). Nearby Powell Butte and Rocky Butte rise to 614 feet (187 m) and 612 feet (187 m), respectively. To the west of the Tualatin Mountains lies the Oregon Coast Range, and to the east lies the actively volcanic Cascade Range. On clear days, Mt. Hood and Mt. St. Helens dominate the horizon, while Mt. Adams and Mt. Rainier can also be seen in the distance.
Frozen Run is a tributary of Hemlock Creek in Columbia County, Pennsylvania, in the United States. It is approximately long and flows through Hemlock Township. The watershed of the stream has an area of . The stream flows through Frosty Valley and is also near a fault. It is designated as a coldwater fishery. Parts of the watershed are impaired due to siltation. The stream has several unnamed tributaries.",Mount Hood,Mt. Hood,0,0
2hop__705035_152093,What label is responsible for the performer of Crazy Love?,Fair Trade Services,"Dunn's departure from the band, with Steingard replacing him on vocals marked the shift in the band's genre from fast-paced pop punk to a softer, contemporary alternative pop rock. On December 11, 2012, Hawk Nelson announced they had signed with Fair Trade Services. ""Made"" was released on April 2, 2013. The album's release was preceded by the release of the album's debut single on January 15, 2013, ""Words"", featuring Bart Millard of MercyMe, which reached No. 1 on the Christian Hot AC/CHR charts.
Crazy Love is the fifth studio album from Canadian Christian rock band Hawk Nelson. It was released on February 8, 2011. It is the last album with lead vocalist Jason Dunn, who left the band in 2012 to pursue a solo career. The album netted a nomination for Best Contemporary Christian/Gospel Album at the Juno Awards of 2012.",Aerosmith,Fair Trade Services,0,1
2hop__13574_13498,How many UEFA Super Cup awards have been received by the team that has won the treble competitions twice?,five,"Barcelona won the treble in the 2014–2015 season, winning La Liga, Copa del Rey and UEFA Champions League titles, and became the first European team to have won the treble twice. On 17 May, the club clinched their 23rd La Liga title after defeating Atlético Madrid. This was Barcelona's seventh La Liga title in the last ten years. On 30 May, the club defeated Athletic Bilbao in the Copa del Rey final at Camp Nou. On 6 June, Barcelona won the UEFA Champions League final with a 3–1 win against Juventus, which completed the treble, the club's second in 6 years. Barcelona's attacking trio of Messi, Suárez and Neymar, dubbed MSN, scored 122 goals in all competitions, the most in a season for an attacking trio in Spanish football history.
As of December 2015[update], Barcelona has won 23 La Liga, 27 Copa del Rey, 11 Supercopa de España, three Copa Eva Duarte[note 2] and two Copa de la Liga trophies, as well as being the record holder for the latter four competitions. They have also won five UEFA Champions League, a record four UEFA Cup Winners' Cup, a shared record five UEFA Super Cup and a record three FIFA Club World Cup trophies. They also won a record three Inter-Cities Fairs Cup trophies, considered the predecessor to the UEFA Cup-Europa League.",I'm not aware of any team winning the treble twice.,Five UEFA Super Cup awards.,0,1
2hop__840174_78851,which professional sports team would you not see play a home game in the venue that held the 2004 Republican National Convention?,Brooklyn Nets NBA,"At Madison Square Garden, New Yorkers can watch the New York Knicks play NBA basketball, while the New York Liberty play in the WNBA. The Barclays Center in Brooklyn is home to the Brooklyn Nets NBA basketball team. The Nets began playing in Brooklyn in 2012, the first major professional sports team to play in the historic borough in half a century. Before the merger of the defunct American Basketball Association with the NBA during the 1976 -- 1977 season, the New York Nets, who shared the same home stadium (Nassau Veterans Memorial Coliseum) on Long Island with the NHL's New York Islanders, were a two - time champion in the ABA and starred the famous Hall of Fame forward Julius Erving. During the first season of the merger (1976 -- 77), the Nets continued to play on Long Island, although Erving's contract had by then been sold to the Philadelphia 76ers. The Nets transferred to New Jersey then next season and became known as the New Jersey Nets, and later moved to Brooklyn prior to the 2012 -- 2013 NBA season.
The 2004 Republican National Convention, the presidential nominating convention of the Republican Party of the United States, took place from August 30 to September 2, 2004 at Madison Square Garden in New York City, New York. The convention is one of a series of historic quadrennial meetings at which the Republican candidate for President of the United States and party platform are formally adopted. Attendance included 2,509 delegates and 2,344 alternate delegates from the states, territories and the District of Columbia. The convention marked the formal end of the active primary election season. , it is the most recent major-party nominating convention to be held in New York City.",The 2004 Republican National Convention was held at Madison Square Garden in New York City,New York Knicks.,0,0
2hop__107601_110222,When is the birthday of the creator of Le ruisseau noir?,10 June 1819,"Le ruisseau noir (The Black Stream) (also known in En. as ""Stream in a Ravine"") is an oil-on-canvas landscape painted by French artist, Gustave Courbet, in 1865. It is currently held and exhibited at the Musée d'Orsay in Paris.
Jean Désiré Gustave Courbet (; 10 June 1819 – 31 December 1877) was a French painter who led the Realism movement in 19th-century French painting. Committed to painting only what he could see, he rejected academic convention and the Romanticism of the previous generation of visual artists. His independence set an example that was important to later artists, such as the Impressionists and the Cubists. Courbet occupies an important place in 19th-century French painting as an innovator and as an artist willing to make bold social statements through his work.","I couldn't find any information about ""Le ruisseau noir"".",10 June 1819.,0,1
2hop__79875_72187,What character in A League of their Own was played by the actress who played Thelma in the movie Thelma and Louise?,Dottie Hinson,"In 1988, Dottie Hinson (Geena Davis) attends the opening of the new All - American Girls Professional Baseball League (AAGPBL) exhibit at the Baseball Hall of Fame. She sees many of her former teammates and friends, prompting a flashback to 1943.
Thelma & Louise is a 1991 American road film produced by Ridley Scott and Mimi Polk Gitlin, directed by Scott and written by Callie Khouri. It stars Geena Davis as Thelma and Susan Sarandon as Louise, two friends who embark on a road trip with unforeseen consequences. The supporting cast include Harvey Keitel, Michael Madsen, and Brad Pitt, whose career was launched by the film.",Geena Davis,Dottie Hinson.,0,1
3hop2__90098_76623_10557,What was the language from which the last name Sylvester originated during the era of the person crowned emperor of the west in 800 CE later known as?,Medieval Latin,"Charlemagne's court in Aachen was the centre of the cultural revival sometimes referred to as the ""Carolingian Renaissance"". Literacy increased, as did development in the arts, architecture and jurisprudence, as well as liturgical and scriptural studies. The English monk Alcuin (d. 804) was invited to Aachen and brought the education available in the monasteries of Northumbria. Charlemagne's chancery—or writing office—made use of a new script today known as Carolingian minuscule,[M] allowing a common writing style that advanced communication across much of Europe. Charlemagne sponsored changes in church liturgy, imposing the Roman form of church service on his domains, as well as the Gregorian chant in liturgical music for the churches. An important activity for scholars during this period was the copying, correcting, and dissemination of basic works on religious and secular topics, with the aim of encouraging learning. New works on religious topics and schoolbooks were also produced. Grammarians of the period modified the Latin language, changing it from the Classical Latin of the Roman Empire into a more flexible form to fit the needs of the church and government. By the reign of Charlemagne, the language had so diverged from the classical that it was later called Medieval Latin.
Charlemagne (/ ˈʃɑːrləmeɪn /) or Charles the Great (2 April 742 -- 28 January 814), numbered Charles I, was King of the Franks from 768, King of the Lombards from 774, and Holy Roman Emperor from 800. He united much of western and central Europe during the early Middle Ages. He was the first recognized emperor to rule from western Europe since the fall of the Western Roman Empire three centuries earlier. The expanded Frankish state that Charlemagne founded is called the Carolingian Empire. He was later invalidly canonized by the antipope Paschal III.
Sylvester is a name derived from the Latin adjective silvestris meaning ``wooded ''or`` wild'', which derives from the noun silva meaning ``woodland ''. Classical Latin spells this with i. In Classical Latin y represented a separate sound distinct from i, not a native Latin sound but one used in transcriptions of foreign words. After the Classical period y came to be pronounced as i. Spellings with Sylv - in place of Silv - date from after the Classical period.",Latin.,Classical Latin.,1,0
2hop__351045_47134,What is the mascot of the operator of RV Wecoma?,Benny Beaver,"Benny Beaver is the official mascot of Oregon State University and winner of the 2011 Capital One Mascot of the Year write - in campaign. The exact date of when the name was first used as the university's mascot is not known, but photographs in the school's yearbook document its use as early as the 1940s.
RV ""Wecoma"" is a research vessel owned by the National Science Foundation and operated by the College of Oceanic & Atmospheric Sciences at Oregon State University (OSU) as a member of the University-National Oceanographic Laboratory System (UNOLS) fleet. It is based in Newport in the U.S. state of Oregon near OSU's Hatfield Marine Science Center. Launched in 1975, it has a maximum displacement of .",I couldn't find any information about the operator of RV Wecoma.,Oregon State University.,0,0
3hop1__694534_160088_49779,Who is the host of Who Wants to be a Millionaire in the country that MacGruder and Loud's creator is from?,Chris Harrison,"This was one of the few failures from Aaron Spelling's production company in its history, since it was picked by ABC to debut right after the Super Bowl in 1985 and was heavily promoted during the game. The promotion resulted in high ratings at first, but the series was cancelled three months into its run, after ranking 40th out of 104 programs that aired that season with an average 15.76 household rating, according to TVTango.com. The ratings decline was blamed on ABC's repeated changing of the show's timeslot before settling on Monday nights at 10:00 p.m., known as ""the graveyard slot.""
The original U.S. version aired on ABC from August 16, 1999 to June 27, 2002, and was hosted by Regis Philbin. The daily syndicated version of the show began airing on September 16, 2002, and was hosted for eleven seasons by Meredith Vieira until May 31, 2013. Later hosts included Cedric the Entertainer in the 2013 -- 14 season, Terry Crews in the following season (2014 -- 15), and Chris Harrison, who began hosting on September 14, 2015.
Aaron Spelling (April 22, 1923 – June 23, 2006) was an American film and television producer. Some of his works include the TV programs Charlie's Angels (1976–81), The Love Boat (1977–86), Hart to Hart (1979–84), Dynasty (1981–89), Beverly Hills, 90210 (1990–2000), 7th Heaven (1996–2007), and Charmed (1998–2006). He also served as producer of Mod Squad (1968-1973), The Rookies (1972-1976), and Sunset Beach (1997-1999).",Who Wants to be a Millionaire host in UK is Jeremy Clarkson,Regis Philbin.,0,0
2hop__576118_25719,At the end of which year did tribes from the area where Linear Pottery culture was found invade the Roman Empire?,406,"The Rössen culture is important as it marks the transition from a broad and widely distributed tradition going back to Central Europe's earliest Neolithic LBK towards the more diversified Middle and Late Neolithic situation characterised by the appearance of complexes like Michelsberg and Funnel Beaker Culture.
In the early 5th century, the deep crisis suffered by the Roman Empire allowed different tribes of Central Europe (Suebi, Vandals and Alani) to cross the Rhine and penetrate into the rule on 31 December 406. Its progress towards the Iberian Peninsula forced the Roman authorities to establish a treaty (foedus) by which the Suebi would settle peacefully and govern Galicia as imperial allies. So, from 409 Galicia was taken by the Suebi, forming the first medieval kingdom to be created in Europe, in 411, even before the fall of the Roman Empire, being also the first Germanic kingdom to mint coinage in Roman lands. During this period a Briton colony and bishopric (see Mailoc) was established in Northern Galicia (Britonia), probably as foederati and allies of the Suebi. In 585, the Visigothic King Leovigild invaded the Suebic kingdom of Galicia and defeated it, bringing it under Visigoth control.",I am unable to verify the answer to your question.,406.,0,1
2hop__81659_52835,Who wrote Turn Me On by the singer of Come Away with Me?,John D. Loudermilk,"Come Away with Me is the first full - length album by vocalist Norah Jones, released by Blue Note Records on February 26, 2002. The album received Grammy Awards for Album of the Year and Best Pop Vocal Album and was certified Diamond by the Recording Industry Association of America (RIAA) on February 15, 2005, having shipped over 10 million copies in the U.S. As of October 2016, the album has sold more than 27 million copies worldwide. Come Away with Me reached the top of the Billboard 200 chart and several jazz charts.
``Turn Me On ''Single by Norah Jones from the album First Sessions / Come Away with Me Released 2003 Format CD single Recorded 2002 Genre Jazz, pop Length 2: 34 Label Blue Note Songwriter (s) John D. Loudermilk Producer (s) Lee Alexander, Norah Jones Norah Jones singles chronology`` Come Away with Me'' (2003) ``Turn Me On ''(2003)`` Sunrise'' (2004) ``Come Away with Me ''(2003)`` Turn Me On'' (2004) ``Sunrise ''(2004)",Norah Jones,John D. Loudermilk,0,1
4hop2__161602_426860_88460_63559,When was Burma's name changed to that of the country on the natural boundary between the country that hosted the tournament and the country where That Dam is from?,1235,"Of the 47 AFC member associations, a total of 44 teams entered the competition. The final tournament hosts Thailand decided to participate in qualification despite having automatically qualified for the final tournament.
That Dam (Lao ທາດດຳ, meaning Black Stupa) is a large stupa located in Vientiane, Laos. Many Laotians believe it is inhabited by a seven-headed nāga who tried to protect them from an invasion by the Siamese army in 1827.
Myanmar (also known as Burma) is the northwestern-most country of mainland Southeast Asia, bordering China, India, Bangladesh, Thailand and Laos. It lies along the Indian and Eurasian Plates, to the southeast of the Himalayas. To its west is the Bay of Bengal and to its south is the Andaman Sea. It is strategically located near major Indian Ocean shipping lanes.
Ma Thanegi records that the first use of the name 'Mranma' for the country is to be found on a 3 feet (91 cm) high stone inscription dated 597 ME (Traditional Burmese calendar) or 1235 CE. The stone is from the reign of Kyaswa, (1234 - 1250) son of King Htilominlo (Nadaungmya), Bagan. It is written in early Burmese script. Although the middle of the front side of this stone is damaged, the first line of the better - protected reverse side clearly shows မြန်မာပြည် (``Mranma kingdom ''). The inscription is known as the 'Yadana Kon Htan Inscription'. At present it is in Bagan recorded as stone number 43 in the Archaeological Department's collection.",I'm not aware of any information about a country's name being changed based on a,I do not know.,0,0
3hop1__287291_375759_84283,Who owns the record label that The Tri-Tone Fascination's performer belongs to?,Warner Music Group,"Warner Bros. Records Parent company Warner Music Group Founded March 19, 1958; 60 years ago (1958 - 03 - 19) Founder James Conkling Distributor (s) Self - distributed (In the US) WEA International (Outside the US) Rhino Entertainment Company (Re-issues) Genre Various Country of origin United States Location Burbank, California, U.S. Official website warnerbrosrecords.com
Powers of Ten is the first studio album by guitarist Shawn Lane, released in 1992 through Warner Bros. Records; a second edition was reissued in 1993, containing a revised track listing and alternative versions of ""Get You Back"" and ""West Side Boogie"" (both of which were included as bonus tracks on the 2006 reissue through Eye Reckon Records). In a 2009 article by ""Guitar World"" magazine, the album was ranked seventh on the all-time top ten list of shred albums.
The Tri-Tone Fascination is the second and final studio album by guitarist Shawn Lane, released in 1999 through Eye Reckon Records; a second edition was reissued in 2000, containing a revised track listing (with the omission of two songs) and different cover art. The opening track, ""Kaiser Nancarrow"", was inspired by and named after composer Conlon Nancarrow.",I don't have information on The Tri-Tone Fascination.,Warner Music Group.,0,1
2hop__136179_13529,When was the player that Iglesia Maradoniana is named after signed by Barcelona?,June 1982,"In June 1982, Diego Maradona was signed for a world record fee of £5 million from Boca Juniors. In the following season, under coach Luis, Barcelona won the Copa del Rey, beating Real Madrid. However, Maradona's time with Barcelona was short-lived and he soon left for Napoli. At the start of the 1984–85 season, Terry Venables was hired as manager and he won La Liga with noteworthy displays by German midfielder Bernd Schuster. The next season, he took the team to their second European Cup final, only to lose on penalties to Steaua Bucureşti during a dramatic evening in Seville.
The Iglesia Maradoniana (; literally ""Maradonian Church"") is a religion, created by fans of the retired Argentine football player Diego Maradona, whom they believe to be the best player of all time.",I couldn't find any information about Iglesia Maradoniana.,1982,0,1
3hop1__52222_40769_64047,When did the luxury division of the biggest automobile company in the world change the body style of rx 350?,Sales began worldwide in April 2012,"Some buyers lamented the small size of the first Japanese compacts, and both Toyota and Nissan (then known as Datsun) introduced larger cars such as the Toyota Corona Mark II, the Toyota Cressida, the Mazda 616 and Datsun 810, which added passenger space and amenities such as air conditioning, power steering, AM-FM radios, and even power windows and central locking without increasing the price of the vehicle. A decade after the 1973 oil crisis, Honda, Toyota and Nissan, affected by the 1981 voluntary export restraints, opened US assembly plants and established their luxury divisions (Acura, Lexus and Infiniti, respectively) to distinguish themselves from their mass-market brands.
Rank Group Country Vehicles Toyota Japan 10,213,486 Volkswagen Group Germany 10,126,281 Hyundai South Korea 7,889,538 General Motors United States 7,793,066 5 Ford United States 6,429,485 6 Nissan Japan 5,556,241 7 Honda Japan 4,999,266 8 Fiat Chrysler Automobiles Italy / United States 4,681,457 9 Renault France 3,373,278 10 PSA France 3,152,787 11 Suzuki Japan 2,945,295 12 SAIC China 2,566,793 13 Daimler Germany 2,526,450 14 BMW Germany 2,359,756 15 Changan China 1,715,871
A facelift was designed through late 2010 and patented on 7 January 2011 under design registration number 001845801 - 0004. The facelift was unveiled at the March 2012 Geneva Motor Show with new wheels, interior colors, new head and tail lamps and new grilles. New LED running lights were introduced as well. The F Sport was introduced, with a honeycomb grille, 8 - speed automatic transmission, and a unique sporty interior. In the US, the new model uses the Lexus Enform telematics system, which includes the Safety Connect SOS system and Shazam tagging. Sales began worldwide in April 2012 for the RX 350 and RX 450h, with sales for the F - Sport variants starting in July of the same year.",I couldn't find the information about the biggest automobile company in the world.,The facelift was unveiled at the Geneva Motor Show in March 2012.,0,0
2hop__256778_131879,Which is the body of water by the birthplace of Christopher Harris?,River Great Ouse,"His debut for Buckinghamshire came in the same year he debuted for Oxford University, with Harris making his debut for his home county in the Minor Counties Championship against Hertfordshire. He played Minor counties cricket for Buckinghamshire from 1964 to 1975, which included 26 Minor Counties Championship matches.
Buckingham and the surrounding area has been settled for some time with evidence of Roman settlement found in several sites close the River Great Ouse, including a temple south of the A421 at Bourton Grounds which was excavated in the 1960s and dated to the 3rd century AD. A possible Roman building was identified at Castle Fields in the 19th century. Pottery, kiln furniture and areas of burning found at Buckingham industrial estate suggest the site of some early Roman pottery kilns here.",I couldn't find any information on a person named Christopher Harris.,The River Great Ouse.,0,1
2hop__58939_213732,Who is the child of Obama's opponent in his first election?,Meghan McCain,"Dirty Sexy Politics is a 2010 political memoir written by Meghan McCain, the daughter of Republican Senator John McCain, about the 2008 United States presidential election.
The United States presidential election of 2008 was the 56th quadrennial presidential election. It was held on Tuesday, November 4, 2008. The Democratic ticket of Barack Obama, a Senator from Illinois, and Joe Biden, a long - time Senator from Delaware, defeated the Republican ticket of Senator John McCain of Arizona and Governor Sarah Palin of Alaska. Obama became the first African American ever to be elected as president.",Barack Obama's opponent in 2008 was John McCain.,Meghan McCain.,0,1
3hop1__104996_160713_77246,What is the meaning of the word that is also a majority religion in the area that became India when the country that release Ankahi was created in Arabic dictionary?,the country of India,"The word Hindu is derived from the Indo - Aryan and Sanskrit word Sindhu, which means ``a large body of water '', covering`` river, ocean''. It was used as the name of the Indus river and also referred to its tributaries. The actual term 'hindu' first occurs, states Gavin Flood, as ``a Persian geographical term for the people who lived beyond the river Indus (Sanskrit: Sindhu) '', more specifically in the 6th - century BCE inscription of Darius I. The Punjab region, called Sapta Sindhava in the Vedas, is called Hapta Hindu in Zend Avesta. The 6th - century BCE inscription of Darius I mentions the province of Hi (n) dush, referring to northwestern India. The people of India were referred to as Hinduvān (Hindus) and hindavī was used as the adjective for Indian in the 8th century text Chachnama. The term 'Hindu' in these ancient records is an ethno - geographical term and did not refer to a religion. The Arabic equivalent Al - Hind likewise referred to the country of India.
Ankahi was an Urdu drama serial broadcast by Pakistan Television Corporation (PTV) in 1982. The drama was written by Haseena Moin and directed by Shoaib Mansoor and Mohsin Ali. The drama serial featured an ensemble star cast including Shehnaz Sheikh, Shakeel, Javed Sheikh, Saleem Nasir, Jamshed Ansari, Behroze Sabzwari, Badar Khalil, Qazi Wajid, Azra Mansoor, Khalid Nizami, Arshad Mehmood, Tabassum Farooqui and Faisal Bilal. ""Ankahi"" was one of the most popular drama serial in the early 1980s in Pakistan.
Abul Kalam Azad expressed concern over the likelihood of violent riots, to which Mountbatten replied:At least on this question I shall give you complete assurance. I shall see to it that there is no bloodshed and riot. I am a soldier and not a civilian. Once the partition is accepted in principle, I shall issue orders to see that there are no communal disturbances anywhere in the country. If there should be the slightest agitation, I shall adopt the sternest measures to nip the trouble in the bud. Jagmohan has stated that this and what followed shows the ""glaring"" ""failure of the government machinery"".On 3 June 1947, the partition plan was accepted by the Congress Working Committee. Boloji states that in Punjab there were no riots but there was communal tension, while Gandhi was reportedly isolated by Nehru and Patel and observed maun vrat (day of silence). Mountbatten visited Gandhi and said he hoped that he would not oppose the partition, to which Gandhi wrote the reply: ""Have I ever opposed you?""Within British India, the border between India and Pakistan (the Radcliffe Line) was determined by a British Government-commissioned report prepared under the chairmanship of a London barrister, Sir Cyril Radcliffe. Pakistan came into being with two non-contiguous enclaves, East Pakistan (today Bangladesh) and West Pakistan, separated geographically by India. India was formed out of the majority Hindu regions of British India, and Pakistan from the majority Muslim areas.",What is the word that is also a majority religion in the area that became India when,"The word ""Hindu"" means ""a large body of water"".",0,0
3hop2__127483_84553_10557,What was the language of Auctor of who built a european empire and was crowned emperor of the romans in 800 era later known as?,Medieval Latin,"Charlemagne's court in Aachen was the centre of the cultural revival sometimes referred to as the ""Carolingian Renaissance"". Literacy increased, as did development in the arts, architecture and jurisprudence, as well as liturgical and scriptural studies. The English monk Alcuin (d. 804) was invited to Aachen and brought the education available in the monasteries of Northumbria. Charlemagne's chancery—or writing office—made use of a new script today known as Carolingian minuscule,[M] allowing a common writing style that advanced communication across much of Europe. Charlemagne sponsored changes in church liturgy, imposing the Roman form of church service on his domains, as well as the Gregorian chant in liturgical music for the churches. An important activity for scholars during this period was the copying, correcting, and dissemination of basic works on religious and secular topics, with the aim of encouraging learning. New works on religious topics and schoolbooks were also produced. Grammarians of the period modified the Latin language, changing it from the Classical Latin of the Roman Empire into a more flexible form to fit the needs of the church and government. By the reign of Charlemagne, the language had so diverged from the classical that it was later called Medieval Latin.
Charlemagne (/ ˈʃɑːrlɪmeɪn /) or Charles the Great (2 April 742 -- 28 January 814), numbered Charles I, was King of the Franks from 768, King of the Lombards from 774 and Emperor of the Romans from 800. He united much of Europe during the early Middle Ages. He was the first recognised emperor in western Europe since the fall of the Western Roman Empire three centuries earlier. The expanded Frankish state that Charlemagne founded is called the Carolingian Empire.
Auctor is Latin for author or originator. The term is used in Scholasticism for a ""renowned scholar"", and in biological taxonomy for the scientist describing a species or other taxon. The term is widely replaced by author in English-language works.",Latin,Medieval Latin.,1,1
3hop1__602329_792411_51423,What is the name of the castle in the birth city of the performer who recorded A Day in the Life?,Casa Loma,"A Day in the Life is an album by Jane Siberry, released in 1997. It was the second release on her own Sheeba Records label after leaving Reprise.
Gavin Bradley is an award-winning Canadian singer-songwriter and producer based in Toronto who has worked with artists like Nelly Furtado, Tori Amos and Jane Siberry. Fusing acoustic and electronic elements, his work is identifiable for its signature ""warm"" piano sound and live strings mixed with filtered synthesizers and other electronic manipulations . Besides production, Bradley is a solo recording artist. His debut album 'Deep Freeze' was released on UMI Records in 2006.
Casa Loma (Spanish for ``Hill House '') is a Gothic Revival style mansion and garden in midtown Toronto, Ontario, Canada, that is now a historic house museum and landmark. It was constructed from 1911 to 1914 as a residence for financier Sir Henry Pellatt. The architect was E. J. Lennox, who designed several other city landmarks. Casa Loma sits at an elevation of 140 metres (460 ft) above sea level.",I need more information.,I do not know.,0,0
2hop__71165_807969,What team does the winner of the 2017 BBC African Footballer of the Year play for?,Egypt national football team,"Ahmed Salah Mohammed Hosny Hassan (born 11 July 1979) is a footballer from Egypt who played for VfB Stuttgart and the Egypt national football team. Recently, Hosny turned to art since he has worked with Amr Diab and Mohamed Hamaki in composing songs in their music albums, and most recently he has played a role (Fu'ad Hareedy) in the Egyptian series ""Sharbat Looz"" which has been premiered in the holy month of Ramadan (July 2012).
Year Winner Club (s) Reference 1992 Abedi Pele Marseille Frankie Fredericks N / A Zambia national football team N / A 1995 George Weah Milan Emmanuel Amuneke Sporting CP Barcelona Nwankwo Kanu Internazionale 1998 Haile Gebrselassie N / A 1999 Nwankwo Kanu Arsenal 2000 Patrick M'Boma Cagliari Parma Samuel Kuffour Bayern Munich 2002 El Hadji Diouf Lens Liverpool 2003 Jay - Jay Okocha Bolton Wanderers Jay - Jay Okocha Bolton Wanderers 2005 Mohamed Barakat Al Ahly 2006 Michael Essien Chelsea 2007 Emmanuel Adebayor Arsenal 2008 Mohamed Aboutrika Al Ahly 2009 Didier Drogba Chelsea Asamoah Gyan Sunderland 2011 André Ayew Marseille 2012 Christopher Katongo Henan Construction 2013 Yaya Touré Manchester City 2014 Yacine Brahimi Granada Porto 2015 Yaya Touré Manchester City 2016 Riyad Mahrez Leicester City 2017 Mohamed Salah Roma Liverpool",Pierre-Emerick Aubameyang,Liverpool,0,0
4hop2__161602_474028_88460_21062,Can foreign tourists cruise to the country between the nation that hosted 2020 AFC U-23 Championship qualification and the one that contains A Don.?,It is not possible for foreigners to go to/from Myanmar by sea or river.,"A Don is a village in south-eastern Laos near the border with Vietnam. It is located in Kaleum District in Sekong Province.
The most common way for travellers to enter the country seems to be by air. According to the website Lonely Planet, getting into Myanmar is problematic: ""No bus or train service connects Myanmar with another country, nor can you travel by car or motorcycle across the border – you must walk across."", and states that, ""It is not possible for foreigners to go to/from Myanmar by sea or river."" There are a small number of border crossings that allow the passage of private vehicles, such as the border between Ruili (China) to Mu-se, the border between Htee Kee (Myanmar) and Ban Phu Nam Ron (Thailand) (the most direct border between Dawei and Kanchanaburi), and the border between Myawaddy (Myanmar) and Mae Sot (Thailand). At least one tourist company has successfully run commercial overland routes through these borders since 2013. ""From Mae Sai (Thailand) you can cross to Tachileik, but can only go as far as Kengtung. Those in Thailand on a visa run can cross to Kawthaung but cannot venture farther into Myanmar.""
Of the 47 AFC member associations, a total of 44 teams entered the competition. The final tournament hosts Thailand decided to participate in qualification despite having automatically qualified for the final tournament.
Myanmar (also known as Burma) is the northwestern-most country of mainland Southeast Asia, bordering China, India, Bangladesh, Thailand and Laos. It lies along the Indian and Eurasian Plates, to the southeast of the Himalayas. To its west is the Bay of Bengal and to its south is the Andaman Sea. It is strategically located near major Indian Ocean shipping lanes.","I need more information to answer your question. 

The 2020 AFC U-","No, not directly.",0,0
