question,golden_answer,context,our_answer_wo_context,our_answer_w_context
When Roger Bannister broke the four minute mile who came second,Sir Christopher John Chataway; Christopher Chataway; Sir Chris Chataway; Chris Chattaway; Chataway; Christopher John Chataway; Chris Chataway,"kilometre, or 14.91 seconds per 100 metres). It also equals 22 feet per second (1320 feet per minute). Breaking the four-minute barrier was first achieved on 6 May 1954 at Oxford University's Iffley Road Track, by Englishman Roger Bannister, with the help of fellow-runners Chris Chataway and Chris Brasher as pacemakers. Two months later, during the 1954 British Empire and Commonwealth Games hosted in Vancouver, B.C., two competing runners, Australia's John Landy and Bannister, ran the distance of one mile in under four minutes. The race's end is memorialised in a photo, and later a statue, of the two, with",Chris Chataway,Chris Chataway
"In a feudal castle what name is given to the outer wall, hence the outer court, or any court within the walls?",Bailey; Baileys (disambiguation); Bailey (disambiguation),"some larger castles, markets were held in the outer bailey (c.f. ""suburbium""). Outer baileys were usually enclosed and protected by a ring wall and separated from the actual living area of the castle – the inner ward and keep – by a moat, a wall and a gate. In lowland castles, the outer bailey is usually arranged in a half-moon shape around the main castle. In the case of hill castles, the topographic features of the terrain had to be taken account of, with the result that the outer bailey was usually slightly lower than the inner ward, hence the",Bastion,Outer wall.
"Members of what family were killed in the Massacre of Glencoe in Scotland, on 13 February 1692?",Macdonald; McDonald; Mcdonald; MacDonald; Macdonalds',"to the massacre, with plans to produce detailed studies of their findings. Massacre of Glencoe The Massacre of Glencoe () took place in Glen Coe in the Highlands of Scotland on 13 February 1692, following the Jacobite uprising of 1689-92. An estimated thirty-eight members and associates of Clan MacDonald of Glencoe were killed by government forces billeted with them, with others later alleged to have died of exposure, on the grounds they had not been prompt in pledging allegiance to the new monarchs, William III of England and II of Scotland and Mary II. In March 1689, James II of",MacDonalds,Members of Clan MacDonald.
"What allegedly crashed at Roswell, New Mexico in 1947?",UFOs as unknown natural phanomena; Unidentified aerial phenomena; UFOs as unknown natural phenomenon; UFO's; Unidentified Flying Object; Ufos; U. F. O.s; U.F.O.s; U.F.O.'s; Ufo; Unidentified flying objects; Unidentified Aerospace Phenomenon; Unidentified submarine object; U F O's; U.F.O.; O.V.N.I.; Unidentified Aerial Phenomenon; Undocumented flying object; Unexplained aerial phenomenon; U F O; Unidentified flying object; UFOs; A UFO; Ufo space craft; U F Os; UFO; Unidentified Aerial Phenomena; Unidentified Flying Objects; Unidentified aerospace phenomenon; Unexplained aerial phenomena; U. F. O.'s; U. F. O.,"exhibit which includes a recreation of Goddard's rocketry development workshop.) Roswell was a location of military importance from 1941 to 1967. In 1967, the Walker Air Force Base was decommissioned. After the closure of the base, Roswell capitalized on its pleasant climate and reinvented itself as a retirement community. Roswell has benefited from interest in the alleged UFO incident of 1947. It was the report of an object that crashed in the general vicinity in June or July 1947, allegedly an extraterrestrial spacecraft and its alien occupants. Since the late 1970s, the incident has been the subject of intense controversy","UFO, extraterrestrial spacecraft.",An extraterrestrial spacecraft.
Within body language the physical space/closeness between people is significant and called?,Visual code; Sociopetal space; Fixed-feature space; Sociofugal space; Proxemics; Olfactory code; Semifixed-feature space; Posture-sex identifier; Sociopetal-sociofugal axis; Thermal code; Proxemic; Reaction bubble; Voice loudness,"of body language is that of spatial relationships, which is also known as Proxemics. Introduced by Edward T. Hall in 1966, proxemics is the study of measurable distances between people as they interact with one another. In the book, ""Body Language"", Julius Fast mentioned that the signals that we send or receive to others through body language are reactions to others’ invasions of our personal territories, which links Proxemics an important part of Body Language. Hall also came up with four distinct zones in which most men operate: Intimate distance for embracing, touching or whispering Personal distance for interactions among",Proxemics.,Proxemics.
"""Which product was advertised with the slogan """"It's what your right arm's for""""?""",BEER (Courage),"except where noted. Old 97's are: Additional performances Wreck Your Life Wreck Your Life is the second studio album by American country/rock band Old 97's, first released on October 3, 1995 (see 1995 in music). The album's title comes from a Texas Department of Transportation bumper sticker with the slogan, ""Don't Wreck Your Life"". Drummer Philip Peeples removed the first word and applied the sticker to the band's touring van. ""Wreck Your Life"" was the band's first professionally released album, released by Chicago alt-country label Bloodshot Records. The album contains many of the country and bar band elements absent from",Doritos,I do not know.
"The Vitruvian Man, a famous drawing of a nude man in two superimposed positions with arms and legs apart, inscribed in a circle within a square, was drawn by whom?","Leonard da Vinci; Leonardo da Vinci's workshop; Leonardo di Ser Piero da Vinci; Da Vinci; Leonardo de Vinci; Leonardo daVinci; Leonardo Da Vinci; Leonardo Davinchi; Da Vincian; Leonardo di ser Piero da Vinci; Vinci, Leonardo di Ser Piero da; DaVinci; Leonardo Davinci; L. Da Vinci; Caterina Buti del Vacca; The Great Lenardo; Leonardo da Vinci; Leonardo De Vinci; Leonardo DaVinci; Leonardo da Vinci Notebooks; Leonardo da Vinci (personal life); Léonard de Vinci; Davinci; Leonardo da Vinchi; Léonardo Da Vinci; LdV; Leonardo da vinci; Leonard de Vinci; Leonardo Da Vinchi; Leonardo Di Vinci; Leo da vinci; The Great Leonardo; Leanardo da vinci; Da vinci","Vitruvian Man The Vitruvian Man (, which is translated to ""The proportions of the human body according to Vitruvius""), or simply L'Uomo Vitruviano (), is a drawing made by the Italian polymath Leonardo da Vinci around 1490. It is accompanied by notes based on the work of the architect Vitruvius. The drawing, which is in ink on paper, depicts a man in two superimposed positions with his arms and legs apart and inscribed in a circle and square. The drawing and text are sometimes called the ""Canon of Proportions"" or, less often, ""Proportions of Man"". It is kept in the",Leonardo da Vinci.,Leonardo da Vinci.
Who is the West Indies most capped cricketer with 153 test appearances?,Chanderpaul; S Chanderpaul; Shiv Chanderpaul; Shivnarine 'Shiv' Chanderpaul; Shivnarine Chanderpaul,"however, hung on with Chanderpaul for long enough that the captain could reach his century, his first against Pakistan and his fourteenth Test ton overall – making 5. Fidel Edwards then made a quickfire 20, Reon King 5 and Corey Collymore a duck, leaving Chanderpaul stranded on 153 not out – his second highest score in Test cricket. However, that was enough to lift the West Indies to 371 – setting Pakistan the highest target in the West Indies since 1930, and the highest in world cricket for 25 years, as they required 572 to win the game. Pakistan, however,",Malcolm Marshall,Chanderpaul.
Who announced that his offspring was to be called Eric?,S Records; Simon Cowbell; Lightning Cowell; Simon Phillip Cowell; Simon Cow; E&S Music; Simon Cowell; Simon Cowel; Mezhgan Hussainy; Simon cowell; Andrew Silverman; Lauren Silverman; Eric Cowell,"2010, as a referee at Turning Point, before later becoming a wrestler under his real name. On May 5, 2011, Eric Bischoff announced that he was starting a brewing company in Cody, Wyoming. Their first beverage, called Buffalo Bill Cody Beer, featured the tag line ""The Spirit of the Wild West"". On July 27, 2016, Bischoff premiered his first podcast show, ""Bischoff on Wrestling"", on MLW Radio. After October 17, 2017, he quit the show due to being short changed on money. In April 2018, Bischoff returned to podcasting with ""83 Weeks with Eric Bischoff"" alongside co-host, Conrad Thompson. Bischoff",King Canute.,Eric Bischoff.
The SNCF is the national railway corporation of which European country?,La Republique francaise; Franciaország; La Republique française; Belle France; FRANCE; Republique française; France; Ranska; Franciaorszag; French Republic; République francaise; République française; ISO 3166-1:FR; Frankreich; France (country); Etymology of France; FrancE; La République française; People of France; Republic of France; Fracne; Le France; The French Republic; Republique francaise; The Republic of France; La République francaise; La France; Rain in France; Republic of france; FRance; Frakkland; Climate of France; Franse,"SNCF The Société nationale des chemins de fer français (SNCF, ""French National Railway Company"") is France's national state-owned railway company. Founded in 1938, it operates the country's national rail traffic along with Monaco, including the TGV, France's high-speed rail network. Its functions include operation of railway services for passengers and freight, and maintenance and signalling of rail infrastructure. The railway network consists of about of route, of which are high-speed lines and electrified. About 14,000 trains are operated daily. In 2010 the SNCF was ranked 22nd in France and 214th globally on the Fortune Global 500 list. It is the",France.,France.
"Before she was a Member of Parliament, what was Margaret Thatcher's occupation?",Split legal profession; Barrister-at-law; Barrister; Read for the Bar; Barrister-at-Law; Bar-at-law; Barristers,"Margaret Thatcher Margaret Hilda Thatcher, Baroness Thatcher, (; 13 October 19258 April 2013) was a British stateswoman who served as Prime Minister of the United Kingdom from 1979 to 1990 and Leader of the Conservative Party from 1975 to 1990. She was the longest-serving British prime minister of the 20th century and the first woman to hold that office. A Soviet journalist dubbed her ""The 'Iron Lady, a nickname that became associated with her uncompromising politics and leadership style. As Prime Minister, she implemented policies known as Thatcherism. A research chemist at Somerville College, Oxford, before becoming a barrister, Thatcher",Lawyer.,Research chemist.
What is the name of the platform or stand used to support a coffin?,Catafalco; Catafalque,"Catafalque A catafalque is a raised bier, box, or similar platform, often movable, that is used to support the casket, coffin, or body of the deceased during a Christian funeral or memorial service. Following a Roman Catholic Requiem Mass, a catafalque may be used to stand in place of the body at the absolution of the dead or used during Masses of the Dead and All Souls' Day. According to Peter Stanford, the term originates from the Italian ', which means scaffolding. However, the ""Oxford English Dictionary"" says the word is ""[o]f unknown derivation; even the original form is uncertain;",Coffin stand: Pall,Catafalque.
Where was the Rumble in the Ali v Foreman fight in Zaire in 1974?,जंगल; Jungle (terrain); Tropical jungle; Jungle; Jungles,"the fight. Several songs were written and released about the fight. For example: The Rumble in the Jungle The Rumble in the Jungle was a historic boxing event in Kinshasa, Zaire (now Democratic Republic of the Congo) on October 30, 1974 (at 4:00 am). Held at the 20th of May Stadium (now the Stade Tata Raphaël), it pitted the undefeated world heavyweight champion George Foreman against challenger Muhammad Ali, a former heavyweight champion; the attendance was 60,000. Ali won by knockout, putting Foreman down just before the end of the eighth round. It has been called ""arguably the greatest sporting","Zaire Stadium, Kinshasa.","Kinshasa, Zaire (now Democratic Republic of the Congo)."
Who is generally considered to have invented the first electric battery cell in 1800?,"Alessandro, Count Volta; Alexander Volta; Alessandra Volta; Alessandro Volta; Alessandro Giuseppe Antonio Anastasio Volta; Allesandro volta; Alessandro Count Volta; Count Volta Alessandro; Alessandro Giuseppe Antonio Anastasio Gerolamo Umberto Volta; Alessandrino Volta","common fuels such as gasoline. In automobiles, this is somewhat offset by the higher efficiency of electric motors in converting chemical energy to mechanical work, compared to combustion engines. The usage of ""battery"" to describe a group of electrical devices dates to Benjamin Franklin, who in 1748 described multiple Leyden jars by analogy to a battery of cannon (Benjamin Franklin borrowed the term ""battery"" from the military, which refers to weapons functioning together). Italian physicist Alessandro Volta built and described the first electrochemical battery, the voltaic pile, in 1800. This was a stack of copper and zinc plates, separated by",Alessandro Volta,Alessandro Volta.
What was the name of the angel in the film It's A Wonderful Life,Clarence (disambiguation); Clarence (TV series); Clarence; Clarence (city); Clarence (film),"It's a Wonderful Life It's a Wonderful Life is a 1946 American Christmas fantasy comedy-drama film produced and directed by Frank Capra, based on the short story and booklet ""The Greatest Gift"", which Philip Van Doren Stern wrote in 1939 and published privately in 1945. The film stars James Stewart as George Bailey, a man who has given up his dreams in order to help others, and whose imminent suicide on Christmas Eve brings about the intervention of his guardian angel, Clarence Odbody (Henry Travers). Clarence shows George all the lives he has touched, and how different life in his", Clarence,Clarence Odbody.
Of which Irish county is Ennis the county town?,Clare; Clare (disambiguation); Clare (constituency),"which allowed users to top up a Chip and PIN card with petty cash and purchase goods in local stores. Funding for the project ran out in 2000. In 2012 and 2013, Ennis won the Irish Tidy Towns Competition in the Large Urban Centre category. The town of Ennis is situated in parts of the civil parishes of Doora, Drumcliff, Kilraghtis and Templemaley. Townlands are: Ennis Ennis () is the county town of County Clare, Ireland. The Irish name is short for """" (""island of the long rowing meadow""). The town is on the River Fergus, north of where it",County Clare.,County Clare.
Who was the manager of Manchester United FC between 1972 and 1979?,Tommy Docherty; TOMMY DOCHERTY; The Doc; Thomas Henderson Docherty; Thomas H. Docherty,"History of Manchester United F.C. (1969–86) Following an eighth-place finish in the 1969–70 season and a poor start to the 1970–71 season, Busby was persuaded to temporarily resume managerial duties, and McGuinness returned to his position as reserve team coach. In June 1971, Frank O'Farrell was appointed as manager, but lasted just 18 months before being replaced by Tommy Docherty in December 1972. Docherty saved Manchester United from relegation that season, only to see them relegated in 1974. By that time, the trio of Best, Law and Charlton had left the club. The team won promotion at the first attempt",Tommy Docherty,Tommy Docherty
"What is the vivid blue semi-percious stone, historically mined in Afghanistan's Badakhshan province and prized by the ancient Egyptians, Mesopotamians, Greeks and Romans?",Lapis; Lapis lazuri; Lapis lazuli; Lapislazuli; Lapis Lazuli; Lapis lazuli blue; Lapis-lazuli; Lapislazuli blue; Lapis-Lazuli,"down. Despite this historical knowledge, global interest was only really boosted in 2010 when the Pentagon commissioned a report from the US Geological Survey (USGS). Historical mining concentrated mostly on precious stone production, with some of the oldest known mines in the world believed to have been established in Afghanistan. Lapis lazuli was being mined in the Badakhshan province of Afghanistan as early as 8000 BC. In ancient Egypt, lapis lazuli was a favorite stone for amulets and ornaments such as scarabs and was used in Egypt's pyramids; it was also used in ancient Mesopotamia by the Sumerians, Akkadians, Assyrians,",Lapis Lazuli,Lapis lazuli.
Who replaced Mary Robinson as president of Ireland in 1997?,Mary Macaleese; Máire Páidrigín Ní Lionnacháin; Justin McAleese; Maire Padraigin Bean Mhic Ghiolla Iosa; Máire Pádraigín Bean Mhic Ghiolla Íosa; Maire Paidrigin Ni Lionnachain; Mary Patricia McAleese; Mary McAleese; Mary MacAleese; Mary Mcaleese,"of money and should be abolished. The functions of the President were exercised by the Presidential Commission from the coming into force of the Constitution on 29 December 1937 until the election of Douglas Hyde in 1938, and during the vacancies of 1974, 1976, and 1997. Currently, there are two living former presidents: Mary Robinson and Mary McAleese. Former presidents who are able and willing to act are members of the Council of State. President of Ireland The President of Ireland () is the head of state of Ireland and the Supreme Commander of the Irish Defence Forces. The president","Mary Robinson, 1990-1997.",I do not know.
Which Npower Football League Division 2 club plays at home at the Kassam Stadium?,Oxford Utd; Headington United; Oxford United F C; Oxford United F. C.; Oxford United Football Club; OUFC; Oxford United FC; OXFORD UNITED; Headington United F.C.; Oxford United F.C.; Headington United FC; Oxford United,"Kassam Stadium The Kassam Stadium (also known as Grenoble Road) is the home of Oxford United Football Club, and is named after the ground's owner and former chairman of the football club, Firoz Kassam. The Kassam Stadium currently hosts League One (third tier) games although Oxford were relegated to Division Three (fourth tier) the season before the new stadium was built and were further relegated to the Conference National (fifth tier) in 2005–06. The club was previously based at The Manor Ground from 1925 until the opening of the Kassam Stadium in 2001. On 7 June 1995, directors of Oxford",Oxford United,Oxford United.
Which veteran performer in rock music began his hit-making career in the mid 1960's with the Belfast quartet named 'Them'?,"Van Morrisson; Van Morisson; Sir Van Morrison; Ivan Morrison; Celtic soul; Van morrison; VAN MORRISON; Van Morrison; Van morrisson; Van Morrison OBE; George Ivan Morrison; Sir George Ivan Morrison; Van Morrison, OBE","The Skiffle Sessions – Live in Belfast 1998 The Skiffle Sessions – Live In Belfast 1998 is a live album by Northern Irish singer-songwriter Van Morrison, with Lonnie Donegan and Chris Barber, released in 2000 (see 2000 in music). Lonnie Donegan had played with the Chris Barber jazz band when he had his first hit with ""Rock Island Line""/""John Henry"" in 1955. He had been a childhood influence on Van Morrison, who had first performed in his own skiffle band with schoolmates when he was twelve years old in Belfast, Northern Ireland. This was Donegan's first album in twenty years,",Van Morrison,Van Morrison.
Who is the famous brother of the actress Shirley MacLaine?,WARREN BEATTY; Warren Beatty; Warren Beaty; Warren Beatty filmography,"five competitive Golden Globe Awards, and received the Golden Globe Cecil B. DeMille Award at the 1998 ceremony. Named after actress Shirley Temple (who was six years old at the time), Shirley MacLean Beaty was born on April 24, 1934, in Richmond, Virginia. Her father, Ira Owens Beaty, was a professor of psychology, public school administrator, and real estate agent, and her mother, Kathlyn Corinne (née MacLean), was a drama teacher, originally from Wolfville, Nova Scotia, Canada. MacLaine's younger brother is the actor, writer, and director Warren Beatty; he changed the spelling of his surname when he became an actor.",Cameron MacLaren,Warren Beatty.
Name the painter of risqué pictures of sexy fat ladies who died in 2008?,Beryl Cook; BERYL COOK,"My Name Is Alan and I Paint Pictures My Name is Alan, and I Paint Pictures is a 2007 documentary film directed by Johnny Boston. The film stars and is materially about Alan Russell-Cowan, an artist diagnosed with schizophrenia. The documentary ""My Name is Alan, and I Paint Pictures"" focuses on Alan Russel-Cowan, a street painter diagnosed with paranoid schizophrenia, as he works to break his way into the professional art world. The film also addresses larger issues which directly or indirectly affect Alan. Subjects addressed include the treatment and diagnosis of Paranoid Schizophrenia; the therapeutic benefits of art for",I cannot verify the name of the painter of risqué pictures of sexy fat ladies who died in 2008.,I do not know.
Which car company manufactured the 'Renown' and 'Mayflower' models?,"St Joseph's College, Geelong; Tri-UMPH Festival; TRIUMPH; Tri-UMPH; St. Joseph's College, Geelong","based on the Vanguard's design, was at the rear. Lockheed hydraulic brakes were fitted. The Mayflower was the first car with unitary construction to be manufactured either by Standard or by the Triumph company that existed before Standard bought its assets. The body was designed by Leslie Moore, chief body designer of Mulliners of Birmingham with input from Standard's Walter Belgrove. The body shells were built by Fisher and Ludlow at Castle Bromwich, Birmingham. The Mayflower had traditional ""razor edge"" styling similar to that of the Triumph Renown, imitating the style then still used by Bentley and Rolls-Royce cars. Standard's","Renown: Datsun (1969-1986)
Mayflower: Datsun (1966-1973)",Triumph and Standard.
In which ITV comedy do Steve Pemberton and Siobhan Finneran play 'Mick' and 'Janice Garvey'?,"The weather in Benidorm; Benedorm; Benidorm; Benidorm, Spain; 'BENIDORM'; Benidorm, Alicante","the fictional Solana hotel in Benidorm, Spain. Finneran described her character Janice Garvey as ""feisty, foul-mouthed and quite fantastic"". Over the course of the series, Janice struggles to keep her family unit—comprising Janice's mother Madge (Sheila Reid), her husband Mick (Steve Pemberton) and their own children and grandchild—under control. A television correspondent at the ""Sunday Mirror"" described the character as a ""fiercely protective lioness, humorous, straight-talking, and saucy"" inclined to ""let-it-all-hang-out"" with a wardrobe comprising ""skimpy, mutton-dressed-as-lamb outfits"". Finneran found elements of the shoot embarrassing — including the requirement to be filmed in swimwear— and one scene which involved her",Benidorm,Benidorm.
Naples is the capital of which Italian region?,Campania; CAMPANIA; Campagnia; Campania (Roman province),"Metropolitan City of Naples The Metropolitan City of Naples (Italian: ""Città metropolitana di Napoli"") is an Italian Metropolitan City in Campania region, established on January 1, 2015. Its capital city is Naples; within the city there are ""92 comune (municipalities)"". It was first created by the reform of local authorities (Law 142/1990) and established by the Law 56/2014, thus replacing the Province of Naples in 2015. The Metropolitan City of Naples is headed by the Metropolitan Mayor (Sindaco metropolitano) and by the Metropolitan Council (Consiglio metropolitano). Since 1 January 2015 its head is Luigi de Magistris, as mayor of the",Naples is the capital of Campania.,Campania.
"Which artist (1518-1594), born Jacopo Comin, also known as Jacopo Robusti, is known by a nickname taken from his father's occupation as a dyer?","Tintoretto, Il; Jacobo Robusti; Jacopo Tintoretto; TINTORETTO; Tintoretto; Jacopo Robusti; Tintoret; Little Dyer; Il Tintoretto","Tintoretto Tintoretto (; born Jacopo Comin, late September or early October, 1518 – May 31, 1594) was an Italian painter and a notable exponent of the Venetian school. The speed with which he painted, and the unprecedented boldness of his brushwork, were both admired and criticized by his contemporaries. For his phenomenal energy in painting he was termed Il Furioso. His work is characterised by his muscular figures, dramatic gestures and bold use of perspective, in the Mannerist style. In his youth, Tintoretto was also known as Jacopo Robusti as his father had defended the gates of Padua in a",Tintoretto,Dyer
In which famous school was the game of squash invented in the 20th century?,"Harrow School; Harrow school; Bradbys House; The Knoll House; Harrow Grammar School; Bradbys; Elmfield House; The Grove House; Old Harrovians F.C.; Rendalls; Houses of Harrow School; Rendalls House; Druries House; Moretons House; Gayton House; Moreton's House; The Head Master's House; West Acre House; HARROW SCHOOL; Newlands House; Old Speech Room Gallery, Harrow School","Squash in England Squash is a popular sport in England. There is a long history of the sport in the country, and as of 2018 there are many highly ranked English players, both in men's and women's squash. England is where squash was invented. Students at Harrow School in London created the sport in 1830 when they discovered the potential that a small, punctured rubber ball had for yielding a game where a variety of shots were possible. Originally played in alleys and courtyards, the first purpose-built squash court was erected in Oxford in 1883. Many professional squash competitions take",Harrow School,Harrow School.
The Birth of Venus by Botticelli hangs in an art gallery in which city?,"UN/LOCODE:ITFLR; Folrenz; Firenze, Italy; פירנצה; Montughi; Firenze; Gualfonda; Florentine; Frorence; Florence (Italy); Florence; Florence, Italy","The Birth of Venus The Birth of Venus ( ) is a painting by the Italian artist Sandro Botticelli probably made in the mid 1480s. It depicts the goddess Venus arriving at the shore after her birth, when she had emerged from the sea fully-grown (called Venus Anadyomene and often depicted in art). The painting is in the Uffizi Gallery in Florence, Italy. Although the two are not a pair, the painting is inevitably discussed with Botticelli's other very large mythological painting, the ""Primavera"", also in the Uffizi. They are among the most famous paintings in the world, and icons","Uffizi Gallery, Florence.","Florence, Italy."
The River Thames has its source in which county?,"Gloucestershire, England; County of Gloucester; Gloucestershire (traditional); Gloucestershire (administrative); Gloucestershire (rump); Windsoredge; Glouchestershire; Gloucestershire; Glos.; Gloucestershire, United Kingdom; Glocs","Springs, Gloucestershire, some farther north, and east of Gloucester. Seven Springs is officially the source of the River Churn, which is a tributary of the Thames that joins at Cricklade. As it is further from the mouth of the Thames than Trewsbury Mead, the adoption of Seven Springs as its source would make the Thames the longest river in the UK. A monument beneath an ash tree bears the inscription: THE CONSERVATORS OF THE RIVER THAMES 1857-1974 THIS STONE WAS PLACED HERE TO MARK THE SOURCE OF THE RIVER THAMES A nearby basin of stones marks the spring. However, there",Gloucestershire,Gloucestershire.
"Lcio Costa was the principal urban planner, Oscar Niemeyer was the principal architect, and Roberto Burle Marx was the landscape designer for which purpose-built capital city?","Brasília; UN/LOCODE:BRBSB; Brasilia; Capital of brazil; Brasilea; Brazíliaváros; Brazillia; Brazília; Brazilia; Braziliavaros; Brasillia; Brasília, Brazil; Brasilia, Brazil; Bras%5CxC3%5CxADlia; Brasília DF; Brasília, DF","Already in 1892, the astronomer Louis Cruls, in the service of the Brazilian government, had investigated the site for the future capital. Lúcio Costa won a contest and was the main urban planner in 1957, with 5550 people competing. Oscar Niemeyer, a close friend, was the chief architect of most public buildings and Roberto Burle Marx was the landscape designer. Brasília was built in 41 months, from 1956 to April 21, 1960, when it was officially inaugurated. The city is located at the top of the Brazilian highlands in the country's center-western region. The Paranoá Lake is a large artificial",Brasília,Brasília.
Which reggae singing star died 11th May 1981?,"Bob Marly; Bob marley; Robert Bob Nesta Marley; Marley, Robert; Bob Marley And The Wailers; Norval Marley; BOB MARLEY; Robert Marley; Robert Nesta Marley O.M.; Bob Marley; Bob Nesta Marley; Berhane Selassie; Hon. Robert Nesta Marley O.M.; Marley, Bob; Marley, Robert Nesta; Robert Nesta Marley; Norval Sinclair Marley; Nesta Marley; Marley; Nesta Robert Marley","the world. The Roots Reggae Library was started in May 2012 as an initiative to index, store and analyse Reggae music, with a particular emphasis on the transition period of Rocksteady into Roots Reggae. Although the first edition published in May 2012 focused on Bob Marley, the author communicated his intent to dedicate special attention to other musicians besides “the King of Reggae”. The primary focus of the Roots Reggae Library is to create a single library of both Jamaican and non-Jamaican Reggae music. The initial name of the website was This Is Crucial Reggae. It was changed to Roots",Peter Tosh,I do not know.
Lake Eyre is the lowest point of which country?,Australia (Commonwealth realm); AustraliA; Continental Australia; Australias; Peace of Australia; Australian city life; City life in Australia; Australocentrist; Mainland Australia; Australiia; Straya; Australia (commonwealth); Austraila; Ausrtalia; Australia (nation); Australien; New Australian; Australia (dominion); Australia (federation); Australia (country); Aussieland; Federal Australia; Country life in Australia; Orstraya; Australia (nation state); Australia (commonwealth realm); Australia; Australocentrism; Austraya; Australie; AUSTRALIA; Geopolitics of Australia; Australia (nation-state); Australia's; Australian mainland; Australian country life; Australian Woman's Day; Imperial Australia; United States of Australia; Australia (realm); Australia (constitutional monarchy); Austalia; Etymology of Australia; Philosophy in Australia; Commonwealth of Australia; Australija; Australia (monarchy); Dominion of Australia; Empire of Australia; Ostralia; Modern Australia; Commonwealth of australia; Australia (empire); Australo; The Commonwealth of Australia; Australia.; Austrlia; Australlia; AUSTRALIAN; Australia (state); ISO 3166-1:AU; Austrailia; Commonwealth Australia; Pax Australiana; Australian Commonwealth; Australocentric; Austrlaia; Technology in Australia; Australia (Commonwealth); Australai; Australian geopolitics; Asutralia; Australo-; Australian's; Science in Australia,"Lake Eyre Lake Eyre ( ), officially known as Kati Thanda–Lake Eyre, contains the lowest natural point in Australia, at approximately below sea level (AHD), and, on the rare occasions that it fills, is the largest lake in Australia covering . The shallow endorheic lake is the depocentre of the vast Lake Eyre basin and is found in Northern South Australia, some north of Adelaide. When the lake is full, it has the same salinity level as the sea, but as the lake dries up and the water evaporates, salinity increases. The lake was named in honour of Edward John",Australia,Australia
"Black, White, Sumatran and Javan are varieties of which endangered species of animal?",Rhino; Rhinoceros horn trade and use; Rinocerous; Rhinocerotidae; Elasmotheriine; The Rhinoceros family; Rhinocerous; Rhinocerotoidea; African rhinoceros; Rhinocerotinae; Rhinoceroses; Horns of rhinoceroses; Rhino horn; Rhinocerotina; Rhinocerotine; Rhinocerotini; Rhinoceros horn; Rhinoserous; Horn of rhinoceros; Rhinoceros; Rhinos; Rhinoceri; Elasmotheriinae; Rinoceros; Horns of rhinoceros,"""Dicerorhinus"", the Sumatran rhino. Other studies have suggested the Sumatran rhinoceros is more closely related to the two African species. The Sumatran rhino may have diverged from the other Asian rhinos 15 million years ago, or as far back as 25.9 million years ago based on mitochondrial data. The Javan rhino is smaller than the Indian rhinoceros, and is close in size to the black rhinoceros. It is the largest animal in Java and the second-largest animal in Indonesia after the Asian elephant. The length of the Javan rhino including its head is 2 to 4 metres (6.5 to 13",Orangutan,Rhino species.
What is the name of the police officer whose beat includes the alley where Top Cat and his gang live?,Brain (Top Cat character); Choo Choo (Top Cat character); Fancy-Fancy; Brain (Top Cat); Top Cat (character); List of Top Cat characters; Benny the Ball; Officer Dibble; Spook (Top Cat character),"job, Strickland fires her and turns to Officer Dibble and shows him evidence that a robot Top Cat sent by Strickland robbed the orphanage proving Top Cat's innocence. However, Strickland arrives and reveals his true intentions to Dibble, and that he's not the old chief's son-in-law. Dibble escapes to pass this to Top Cat's gang, but Trixie is captured by the police robots. After Dibble tells the gang what really happened, they all head for Big Gus to help them break Top Cat out of prison, as he owes Top Cat. Big Gus leads them through an underground passage to",Officer Dibble,Officer Dibble.
"What plant, a bushy herb of the mint family, has a heavy, strong scent, and has been used for centuries in perfumes?",Patchoulli; Pachouli; Patchouly; Patchouli oil; Patchoully; Pachouli oil; Pachoulli; Pogostemon cablin; Patchouli; Pachouly,"Patchouli Patchouli (""Pogostemon cablin"") is a species of plant from the family ""Lamiaceae"", commonly called the ""mint"" or ""deadnettle"" family. The plant grows as a bushy herb, with erect stems reaching around 75 centimetres (2.5 ft) in height and bearing small, pale pink-white flowers. It is native to tropical regions of Asia, and is now extensively cultivated in China, Indonesia, Cambodia, Myanmar, India, Maldives, Malaysia, Mauritius, Seychelles, Madagascar, Taiwan, the Philippines, Thailand, Vietnam, South America and the Caribbean. The heavy and strong scent of patchouli has been used for centuries in perfumes and, more recently, in incense, insect repellents, and",Hyssop,Patchouli.
Greek 'skhizo' and 'skhizein' basically mean what?,Split (album); Split (disambiguation); Split (song); Split; Split (single),"D'You Know What I Mean? ""D'You Know What I Mean?"" is a song by the English rock band Oasis. Written by Noel Gallagher, it was released on 7 July 1997 as the first single from their third album ""Be Here Now "" (1997). The song reached number one on the UK Singles Chart, the third Oasis song to do so. The song also claimed the number-one position in Finland, Ireland, Italy, and Spain, as well as reaching the Top 5 in Norway, Sweden, and New Zealand. It sold 162,000 copies in its first day in the shops and 370,000 by","""Skhizo"" and ""skhizein"" mean ""to split"" or ""to divide"".","The words ""skhizo"" and ""skhizein"" are Greek words meaning ""to split"" or ""to divide""."
