question,context,our_answer_wo_context,our_answer_w_context
What title did Kim B. Christensen have?,"BYU alumni in academia include former Dean of the Harvard Business School Kim B. Clark, two time world's most influential business thinker Clayton M. Christensen, Michael K. Young '73, current president of the University of Washington, Matthew S. Holland, current president of Utah Valley University, Stan L. Albrecht, current president of Utah State University, Teppo Felin, Professor at the University of Oxford, and Stephen D. Nadauld, previous president of Dixie State University. The University also graduated Nobel Prize winner Paul D. Boyer, as well as Philo Farnsworth (inventor of the electronic television) and Harvey Fletcher (inventor of the hearing aid). Four of BYU's thirteen presidents were alumni of the University. Additionally, alumni of BYU who have served as business leaders include Citigroup CFO Gary Crittenden '76, former Dell CEO Kevin Rollins '84, Deseret Book CEO Sheri L. Dew, and Matthew K. McCauley, CEO of children's clothing company Gymboree.",I don't have information on Kim B. Christensen.,Former Dean of Harvard Business School.
What was the uncommon name of the Soviet Union?,"For most of the Soviet Union's existence, it was commonly referred to as ""Russia,"" even though technically ""Russia"" was only one republic within the larger union—albeit by far the largest, most powerful and most highly developed.",People's Republic of Communism,The Soviet Union.
What is currently a favorite form of entertainment?,"Puppetry and shadow plays were also a favoured form of entertainment in past centuries, a famous one being Wayang from Indonesia. The arts and literature in some of Southeast Asia is quite influenced by Hinduism, which was brought to them centuries ago. Indonesia, despite conversion to Islam which opposes certain forms of art, has retained many forms of Hindu-influenced practices, culture, art and literature. An example is the Wayang Kulit (Shadow Puppet) and literature like the Ramayana. The wayang kulit show has been recognized by UNESCO on November 7, 2003, as a Masterpiece of Oral and Intangible Heritage of Humanity.",Streaming services.,Puppetry and shadow plays.
Where is the secondary circadian clocl located?,"The primary circadian ""clock"" in mammals is located in the suprachiasmatic nucleus (or nuclei) (SCN), a pair of distinct groups of cells located in the hypothalamus. Destruction of the SCN results in the complete absence of a regular sleep–wake rhythm. The SCN receives information about illumination through the eyes. The retina of the eye contains ""classical"" photoreceptors (""rods"" and ""cones""), which are used for conventional vision. But the retina also contains specialized ganglion cells that are directly photosensitive, and project directly to the SCN, where they help in the entrainment (synchronization) of this master circadian clock.",Suprachiasmatic nucleus (SCN).,I do not know.
Who declared Kinect as the most influential console?,"In 2009, IGN named the Xbox 360 the sixth-greatest video game console of all time, out of a field of 25. Although not the best-selling console of the seventh-generation, the Xbox 360 was deemed by TechRadar to be the most influential, by emphasizing digital media distribution and online gaming through Xbox Live, and by popularizing game achievement awards. PC Magazine considered the Xbox 360 the prototype for online gaming as it ""proved that online gaming communities could thrive in the console space"". Five years after the Xbox 360's original debut, the well-received Kinect motion capture camera was released, which set the record of being the fastest selling consumer electronic device in history, and extended the life of the console. Edge ranked Xbox 360 the second-best console of the 1993–2013 period, stating ""It had its own social network, cross-game chat, new indie games every week, and the best version of just about every multiformat game...Killzone is no Halo and nowadays Gran Turismo is no Forza, but it's not about the exclusives—there's nothing to trump Naughty Dog's PS3 output, after all. Rather, it's about the choices Microsoft made back in the original Xbox's lifetime. The PC-like architecture meant those early EA Sports titles ran at 60fps compared to only 30 on PS3, Xbox Live meant every dedicated player had an existing friends list, and Halo meant Microsoft had the killer next-generation exclusive. And when developers demo games on PC now they do it with a 360 pad—another industry benchmark, and a critical one.""",I couldn't find any information about someone declaring Kinect as the most influential console.,TechRadar.
What did Charles the Bold sell to Archduke Sigismund?,"In 1469, following the Treaty of St. Omer, Upper Alsace was sold by Archduke Sigismund of Austria to Charles the Bold, Duke of Burgundy. Although Charles was the nominal landlord, taxes were paid to Frederick III, Holy Roman Emperor. The latter was able to use this tax and a dynastic marriage to his advantage to gain back full control of Upper Alsace (apart from the free towns, but including Belfort) in 1477 when it became part of the demesne of the Habsburg family, who were also rulers of the empire. The town of Mulhouse joined the Swiss Confederation in 1515, where it was to remain until 1798.",Tournai 1477,Upper Alsace.
What caused was written Jonassohn and Bjornson to become a legal instrument? ,"Writing in 1998 Kurt Jonassohn and Karin Björnson stated that the CPPCG was a legal instrument resulting from a diplomatic compromise. As such the wording of the treaty is not intended to be a definition suitable as a research tool, and although it is used for this purpose, as it has an international legal credibility that others lack, other definitions have also been postulated. Jonassohn and Björnson go on to say that none of these alternative definitions have gained widespread support for various reasons.","The ""Wass"" was written by Jonassohn and Bjornson in 1896.",Diplomatic compromise.
What did the Orangists want to replace in the power struggle?,"There was a constant power struggle between the Orangists, who supported the stadtholders and specifically the princes of Orange, and the Republicans, who supported the States General and hoped to replace the semi-hereditary nature of the stadtholdership with a true republican structure.",The Orangists wanted to replace the Habsburgs.,The semi-hereditary nature of the stadtholdership.
King Henry VIII sought to execute his sixth wife in what year?,"A new device for granting assent was created during the reign of King Henry VIII. In 1542, Henry sought to execute his fifth wife, Catherine Howard, whom he accused of committing adultery; the execution was to be authorised not after a trial but by a bill of attainder, to which he would have to personally assent after listening to the entire text. Henry decided that ""the repetition of so grievous a Story and the recital of so infamous a crime"" in his presence ""might reopen a Wound already closing in the Royal Bosom"". Therefore, parliament inserted a clause into the Act of Attainder, providing that assent granted by Commissioners ""is and ever was and ever shall be, as good"" as assent granted by the sovereign personally. The procedure was used only five times during the 16th century, but more often during the 17th and 18th centuries, especially when George III's health began to deteriorate. Queen Victoria became the last monarch to personally grant assent in 1854.",Catherine Parr,There is no mention of a sixth wife.
Who demolished the first house on the site?,"Possibly the first house erected within the site was that of a Sir William Blake, around 1624. The next owner was Lord Goring, who from 1633 extended Blake's house and developed much of today's garden, then known as Goring Great Garden. He did not, however, obtain the freehold interest in the mulberry garden. Unbeknown to Goring, in 1640 the document ""failed to pass the Great Seal before King Charles I fled London, which it needed to do for legal execution"". It was this critical omission that helped the British royal family regain the freehold under King George III.",I don't have enough information about the specific house you're referring to.,I do not know.
What country has a Constitution providing for freedom of government?,"Sunni Islam of the Hanafi school has been officially recognized by the government since 2009. Tajikistan considers itself a secular state with a Constitution providing for freedom of religion. The Government has declared two Islamic holidays, Id Al-Fitr and Idi Qurbon, as state holidays. According to a U.S. State Department release and Pew research group, the population of Tajikistan is 98% Muslim. Approximately 87%–95% of them are Sunni and roughly 3% are Shia and roughly 7% are non-denominational Muslims. The remaining 2% of the population are followers of Russian Orthodoxy, Protestantism, Zoroastrianism and Buddhism. A great majority of Muslims fast during Ramadan, although only about one third in the countryside and 10% in the cities observe daily prayer and dietary restrictions.",United States (1787),Tajikistan.
What have drug reps been accused of giving to conferences?,"There has been increasing controversy surrounding pharmaceutical marketing and influence. There have been accusations and findings of influence on doctors and other health professionals through drug reps, including the constant provision of marketing 'gifts' and biased information to health professionals; highly prevalent advertising in journals and conferences; funding independent healthcare organizations and health promotion campaigns; lobbying physicians and politicians (more than any other industry in the US); sponsorship of medical schools or nurse training; sponsorship of continuing educational events, with influence on the curriculum; and hiring physicians as paid consultants on medical advisory boards.","Free cars, meals, and gifts.",Biased information.
"In the US, electric traction became more energy-efficient than what?","In the former Soviet Union, electric traction eventually became somewhat more energy-efficient than diesel. Partly due to inefficient generation of electricity in the USSR (only 20.8% thermal efficiency in 1950 vs. 36.2% in 1975), in 1950 diesel traction was about twice as energy efficient as electric traction (in terms of net tonne-km of freight per kg of fuel). But as efficiency of electricity generation (and thus of electric traction) improved, by about 1965 electric railways became more efficient than diesel. After the mid 1970s electrics used about 25% less fuel per ton-km. However diesels were mainly used on single track lines with a fair amount of traffic  so that the lower fuel consumption of electrics may be in part due to better operating conditions on electrified lines (such as double tracking) rather than inherent energy efficiency. Nevertheless, the cost of diesel fuel was about 1.5 times more (per unit of heat energy content) than that of the fuel used in electric power plants (that generated electricity), thus making electric railways even more energy-cost effective.",Steam locomotives.,Diesel.
Most of the petroleum used for commercial purposes is obtained from what?,"The great majority of asphalt used commercially is obtained from petroleum. Nonetheless, large amounts of asphalt occur in concentrated form in nature. Naturally occurring deposits of asphalt/bitumen are formed from the remains of ancient, microscopic algae (diatoms) and other once-living things. These remains were deposited in the mud on the bottom of the ocean or lake where the organisms lived. Under the heat (above 50 °C) and pressure of burial deep in the earth, the remains were transformed into materials such as asphalt/bitumen, kerogen, or petroleum.",Crude oil.,Mostly from petroleum.
"Along with Sakhalin Island, what islands were occupied by the Soviets after the First World War?","At the end of World War II Soviet troops occupied southern Sakhalin Island and the Kuril Islands, making them part of the RSFSR. The status of the southernmost Kurils remains in dispute with Japan.","Kuril Islands, Commander Islands",The Kuril Islands.
Why can't bacteria enter poultry?,"A 2011 study by the Translational Genomics Research Institute showed that 47% of the meat and poultry sold in United States grocery stores was contaminated with Staphylococcus aureus, and 52% of the bacteria concerned showed resistance to at least three groups of antibiotics. Thorough cooking of the product would kill these bacteria, but a risk of cross-contamination from improper handling of the raw product is still present. Also, some risk is present for consumers of poultry meat and eggs to bacterial infections such as Salmonella and Campylobacter. Poultry products may become contaminated by these bacteria during handling, processing, marketing, or storage, resulting in food-borne illness if the product is improperly cooked or handled.","Bacteria can't enter poultry due to: 

1. Natural antimicrobial peptides 
2. Gut flora",Bacteria can enter poultry.
What is the name of the publication that doesn't rank schools engaged in architecture and design education?,"According to the journal DesignIntelligence, which annually publishes ""America's Best Architecture and Design Schools,"" the School of Architecture and Urban Design at the University of Kansas was named the best in the Midwest and ranked 11th among all undergraduate architecture programs in the U.S in 2012.",Bloomberg Businessweek,DesignIntelligence
Who built Godolphin House?,"The Oppidan Houses are named Godolphin House, Jourdelay's, (both built as such c. 1720), Hawtrey House, Durnford House, (the first two built as such by the Provost and Fellows, 1845, when the school was increasing in numbers and needed more centralised control), The Hopgarden, South Lawn, Waynflete, Evans's, Keate House, Warre House, Villiers House, Common Lane House, Penn House, Walpole House, Cotton Hall, Wotton House, Holland House, Mustians, Angelo's, Manor House, Farrer House, Baldwin's Bec, The Timbralls, and Westbury.","Godolphin House, England",The Provost and Fellows.
What has there been a reunification of contemporary mass with?,"In addition to these popular examples of house, there has also been a reunification of contemporary house and its roots. Many hip hop and R&B artists also turn to house music to add a mass appeal to the music they produce.",Mass with Christ.,Contemporary house music.
What description of the reading in the Quran highlights its poetic aspect?,"The language of the Quran has been described as ""rhymed prose"" as it partakes of both poetry and prose; however, this description runs the risk of failing to convey the rhythmic quality of Quranic language, which is more poetic in some parts and more prose-like in others. Rhyme, while found throughout the Quran, is conspicuous in many of the earlier Meccan suras, in which relatively short verses throw the rhyming words into prominence. The effectiveness of such a form is evident for instance in Sura 81, and there can be no doubt that these passages impressed the conscience of the hearers. Frequently a change of rhyme from one set of verses to another signals a change in the subject of discussion. Later sections also preserve this form but the style is more expository.",Surah Al-Qasas.,"""Rhymed prose"""
Nearly all gasoline sold in the UK is mixed with what percentage of ethanol?,"Nearly all the gasoline sold in the United States today is mixed with 10 percent ethanol, a mix known as E10, and motor vehicle manufacturers already produce vehicles designed to run on much higher ethanol blends. Ford, DaimlerChrysler, and GM are among the automobile companies that sell flexible-fuel cars, trucks, and minivans that can use gasoline and ethanol blends ranging from pure gasoline up to 85% ethanol (E85). The challenge is to expand the market for biofuels beyond the farm states where they have been most popular to date. The Energy Policy Act of 2005, which calls for 7.5 billion US gallons (28,000,000 m3) of biofuels to be used annually by 2012, will also help to expand the market.",10%,I do not know.
What movement slowed the spread of a German identity?,"The event of the Protestant Reformation and the politics that ensued has been cited as the origins of German identity that arose in response to the spread of a common German language and literature. Early German national culture was developed through literary and religious figures including Martin Luther, Johann Wolfgang von Goethe and Friedrich Schiller. The concept of a German nation was developed by German philosopher Johann Gottfried Herder. The popularity of German identity arose in the aftermath of the French Revolution.",Enlightenment.,I do not know.
What is subject to patients in the United States?,"There are special rules for certain rare diseases (""orphan diseases"") in several major drug regulatory territories. For example, diseases involving fewer than 200,000 patients in the United States, or larger populations in certain circumstances are subject to the Orphan Drug Act.  Because medical research and development of drugs to treat such diseases is financially disadvantageous, companies that do so are rewarded with tax reductions, fee waivers, and market exclusivity on that drug for a limited time (seven years), regardless of whether the drug is protected by patents.",Medicare (1965),"Fewer than 200,000 patients."
How many principle bedrooms does the palace spy on?,"The palace measures 108 metres (354 ft) by 120 metres (390 ft), is 24 metres (79 ft) high and contains over 77,000 m2 (830,000 sq ft) of floorspace. The floor area is smaller than the Royal Palace of Madrid, the Papal Palace in Rome, the Louvre in Paris, the Hofburg Palace in Vienna, or the Forbidden City. There are 775 rooms, including 19 state rooms, 52 principal bedrooms, 188 staff bedrooms, 92 offices, and 78 bathrooms. The principal rooms are contained on the piano nobile behind the west-facing garden façade at the rear of the palace. The centre of this ornate suite of state rooms is the Music Room, its large bow the dominant feature of the façade. Flanking the Music Room are the Blue and the White Drawing Rooms. At the centre of the suite, serving as a corridor to link the state rooms, is the Picture Gallery, which is top-lit and 55 yards (50 m) long. The Gallery is hung with numerous works including some by Rembrandt, van Dyck, Rubens and Vermeer; other rooms leading from the Picture Gallery are the Throne Room and the Green Drawing Room. The Green Drawing Room serves as a huge anteroom to the Throne Room, and is part of the ceremonial route to the throne from the Guard Room at the top of the Grand Staircase. The Guard Room contains white marble statues of Queen Victoria and Prince Albert, in Roman costume, set in a tribune lined with tapestries. These very formal rooms are used only for ceremonial and official entertaining, but are open to the public every summer.",I'm not aware of any palace that is known to spy on people.,52 principal bedrooms.
What is worse than the hemlock woolly adelgid?,"Eastern deciduous forests are subject to a number of serious insect and disease outbreaks. Among the most conspicuous is that of the introduced gypsy moth (Lymantria dispar), which infests primarily oaks, causing severe defoliation and tree mortality. But it also has the benefit of eliminating weak individuals, and thus improving the genetic stock, as well as creating rich habitat of a type through accumulation of dead wood. Because hardwoods sprout so readily, this moth is not as harmful as the hemlock woolly adelgid. Perhaps more serious is the introduced beech bark disease complex, which includes both a scale insect (Cryptococcus fagisuga) and fungal components.",Asian longhorned beetle.,The beech bark disease complex.
"Other than failing to achieve its goal, what else do people who agree with affirmative action claim it has?","Some opponents further claim that affirmative action has undesirable side-effects and that it fails to achieve its goals. They argue that it hinders reconciliation, replaces old wrongs with new wrongs, undermines the achievements of minorities, and encourages groups to identify themselves as disadvantaged, even if they are not. It may increase racial tension and benefit the more privileged people within minority groups at the expense of the disenfranchised within better-off groups (such as lower-class whites and Asians).There has recently been a strong push among American states to ban racial or gender preferences in university admissions, in reaction to the controversial and unprecedented decision in Grutter v. Bollinger. In 2006, nearly 60% of Michigan voters decided to ban affirmative action in university admissions. Michigan joined California, Florida, Texas, and Washington in banning the use of race or sex in admissions considerations. Some opponents believe, among other things, that affirmative action devalues the accomplishments of people who belong to a group it's supposed to help, therefore making affirmative action counter-productive. Furthermore, opponents of affirmative action claim that these policies dehumanize individuals and applicants to jobs or school are judged as members of a group without consideration for the individual person.",Increased diversity in institutions.,Reconciles past injustices.
What was released by Porton Down in 2002?,"A government report covered by the Guardian in 2002 indicates that between 1940 and 1979, the Ministry of Defence ""turned large parts of the country into a giant laboratory to conduct a series of secret germ warfare tests on the public"" and many of these tests ""involved releasing potentially dangerous chemicals and micro-organisms over vast swaths of the population without the public being told."" The Ministry of Defence claims that these trials were to simulate germ warfare and that the tests were harmless. Still, families who have been in the area of many of the tests are experiencing children with birth defects and physical and mental handicaps and many are asking for a public inquiry. According to the report these tests affected estimated millions of people including one period between 1961 and 1968 where ""more than a million people along the south coast of England, from Torquay to the New Forest, were exposed to bacteria including e.coli and bacillus globigii, which mimics anthrax."" Two scientists commissioned by the Ministry of Defence stated that these trials posed no risk to the public. This was confirmed by Sue Ellison, a representative of Porton Down who said that the results from these trials ""will save lives, should the country or our forces face an attack by chemical and biological weapons."" Asked whether such tests are still being carried out, she said: ""It is not our policy to discuss ongoing research."" It is unknown whether or not the harmlessness of the trials was known at the time of their occurrence.",SARS outbreak,A government report.
What was legal to smoke on the University of Michigan property/,"Ann Arbor has a long history of openness to marijuana, given Ann Arbor's decriminalization of cannabis, the large number of medical marijuana dispensaries in the city (one dispensary, called People's Co-op, was directly across the street from Michigan Stadium until zoning forced it to move one mile to the west), the large number of pro-marijuana residents, and the annual Hash Bash: an event that is held on the first Saturday of April. Until (at least) the successful passage of Michigan's medical marijuana law, the event had arguably strayed from its initial intent, although for years, a number of attendees have received serious legal responses due to marijuana use on University of Michigan property, which does not fall under the City's progressive and compassionate ticketing program.",Cigar smoking allowed.,Nothing was explicitly stated as legal.
How many major SDTV systems were tested by SMPTE in the late 70's?,"There were four major HDTV systems tested by SMPTE in the late 1970s, and in 1979 an SMPTE study group released A Study of High Definition Television Systems:",SMPTE tested 7 systems.,"None, it was HDTV."
What is always used the same way across fields?,"Different fields of science use the term matter in different, and sometimes incompatible, ways. Some of these ways are based on loose historical meanings, from a time when there was no reason to distinguish mass and matter. As such, there is no single universally agreed scientific meaning of the word ""matter"". Scientifically, the term ""mass"" is well-defined, but ""matter"" is not. Sometimes in the field of physics ""matter"" is simply equated with particles that exhibit rest mass (i.e., that cannot travel at the speed of light), such as quarks and leptons. However, in both physics and chemistry, matter exhibits both wave-like and particle-like properties, the so-called wave–particle duality.",The number zero.,"""Mass"""
When was John Locke's essay written?,"In the 12th century CE the Andalusian Muslim philosopher and novelist Abu Bakr Ibn Tufail (known as ""Abubacer"" or ""Ebn Tophail"" in the West) included the theory of tabula rasa as a thought experiment in his Arabic philosophical novel, Hayy ibn Yaqdhan in which he depicted the development of the mind of a feral child ""from a tabula rasa to that of an adult, in complete isolation from society"" on a desert island, through experience alone. The Latin translation of his philosophical novel, entitled Philosophus Autodidactus, published by Edward Pococke the Younger in 1671, had an influence on John Locke's formulation of tabula rasa in An Essay Concerning Human Understanding.",Essay Concerning Human Understanding,1689.
What happens when a country accepts a movie?,"There have been instances where a country's government bans a movie, resulting in the spread of copied videos and DVDs. Romanian-born documentary maker Ilinca Calugareanu wrote a New York Times article telling the story of Irina Margareta Nistor, a narrator for state TV under Nicolae Ceauşescu's regime. A visitor from the west gave her bootlegged copies of American movies, which she dubbed for secret viewings through Romania. According to the article, she dubbed more than 3,000 movies and became the country's second-most famous voice after Ceauşescu, even though no one knew her name until many years later.","Country accepts a movie: 

- Officially selects a film for representation.
- Enters the film into international competitions.
- Presents the film at film festivals.
- May be submitted for Academy Awards.",The movie is shown publicly.
The US revival of Georgian architecture is referred to as was,"The revived Georgian style that emerged in Britain at the beginning of the 20th century is usually referred to as Neo-Georgian; the work of Edwin Lutyens includes many examples. Versions of the Neo-Georgian style were commonly used in Britain for certain types of urban architecture until the late 1950s, Bradshaw Gass & Hope's Police Headquarters in Salford of 1958 being a good example. In both the United States and Britain, the Georgian style is still employed by architects like Quinlan Terry Julian Bicknell and Fairfax and Sammons for private residences.",Colonial Revival,Neo-Georgian
What physical factor must be periodicly monitored in temperature studies?,"For temperature studies, subjects must remain awake but calm and semi-reclined in near darkness while their rectal temperatures are taken continuously. Though variation is great among normal chronotypes, the average human adult's temperature reaches its minimum at about 05:00 (5 a.m.), about two hours before habitual wake time. Baehr et al. found that, in young adults, the daily body temperature minimum occurred at about 04:00 (4 a.m.) for morning types but at about 06:00 (6 a.m.) for evening types. This minimum occurred at approximately the middle of the eight hour sleep period for morning types, but closer to waking in evening types.",Humidity,Rectal temperatures.
How high of a temperature change can CTEs handle?,"The term mainly refers to a mix of lithium and aluminosilicates that yields an array of materials with interesting thermomechanical properties. The most commercially important of these have the distinction of being impervious to thermal shock. Thus, glass-ceramics have become extremely useful for countertop cooking. The negative thermal expansion coefficient (CTE) of the crystalline ceramic phase can be balanced with the positive CTE of the glassy phase. At a certain point (~70% crystalline) the glass-ceramic has a net CTE near zero. This type of glass-ceramic exhibits excellent mechanical properties and can sustain repeated and quick temperature changes up to 1000 °C.",CTEs can handle up to 100°C.,Up to 1000 °C.
What weather is uncommon in Florida?,"Florida's nickname is the ""Sunshine State"", but severe weather is a common occurrence in the state. Central Florida is known as the lightning capital of the United States, as it experiences more lightning strikes than anywhere else in the country. Florida has one of the highest average precipitation levels of any state, in large part because afternoon thunderstorms are common in much of the state from late spring until early autumn. A narrow eastern part of the state including Orlando and Jacksonville receives between 2,400 and 2,800 hours of sunshine annually. The rest of the state, including Miami, receives between 2,800 and 3,200 hours annually.",Freezing temperatures.,None mentioned.
Who used copper to produce garbage?,"The uses of copper in art were not limited to currency: it was used by Renaissance sculptors, in photographic technology known as the daguerreotype, and the Statue of Liberty. Copper plating and copper sheathing for ships' hulls was widespread; the ships of Christopher Columbus were among the earliest to have this feature. The Norddeutsche Affinerie in Hamburg was the first modern electroplating plant starting its production in 1876. The German scientist Gottfried Osann invented powder metallurgy in 1830 while determining the metal's atomic mass; around then it was discovered that the amount and type of alloying element (e.g., tin) to copper would affect bell tones. Flash smelting was developed by Outokumpu in Finland and first applied at Harjavalta in 1949; the energy-efficient process accounts for 50% of the world's primary copper production.",Ancient Egyptians,I do not know.
What is determined after several individuals are involved in meeting the requirement?,"The judges continue in paragraph 12, ""The determination of when the targeted part is substantial enough to meet this requirement may involve a number of considerations. The numeric size of the targeted part of the group is the necessary and important starting point, though not in all cases the ending point of the inquiry. The number of individuals targeted should be evaluated not only in absolute terms, but also in relation to the overall size of the entire group. In addition to the numeric size of the targeted portion, its prominence within the group can be a useful consideration. If a specific part of the group is emblematic of the overall group, or is essential to its survival, that may support a finding that the part qualifies as substantial within the meaning of Article 4 [of the Tribunal's Statute].""","Outcome, consensus, or result.",The targeted part's substantialness.
What was invented by Robert Boyle in 1654?,"In 1654, Otto von Guericke invented the first vacuum pump and conducted his famous Magdeburg hemispheres experiment, showing that teams of horses could not separate two hemispheres from which the air had been partially evacuated. Robert Boyle improved Guericke's design and with the help of Robert Hooke further developed vacuum pump technology. Thereafter, research into the partial vacuum lapsed until 1850 when August Toepler invented the Toepler Pump and Heinrich Geissler invented the mercury displacement pump in 1855, achieving a partial vacuum of about 10 Pa (0.1 Torr). A number of electrical properties become observable at this vacuum level, which renewed interest in further research.",Air Pump.,I do not know.
"According to NDP, who has generally dominated the premium PC market?","Apple has generally dominated the premium PC market, having a 91 percent market share for PCs priced at more than $1,000 in 2009, according to NPD. The Macintosh took 45 percent of operating profits in the PC industry during Q4 2012, compared to 13 percent for Dell, seven percent for Hewlett Packard, six percent for Lenovo and Asus, and one percent for Acer. While sales of the Macintosh have largely held steady, in comparison to Apple's sales of the iPhone and iPad which increased significantly during the 2010s, Macintosh computers still enjoy high margins on a per unit basis, with the majority being their MacBooks that are focused on the ultraportable niche that is the most profitable and only growing segment of PCs. It also helped that the Macintosh lineup is simple, updated on a yearly schedule, and consistent across both Apple retail stores, and authorized resellers where they have a special ""store within a store"" section to distinguish them from Windows PCs. In contrast, Windows PC manufacturers generally have a wide range of offerings, selling only a portion through retail with a full selection on the web, and often with limited-time or region-specific models. The Macintosh ranked third on the ""list of intended brands for desktop purchases"" for the 2011 holiday season, then moved up to second in 2012 by displacing Hewlett Packard, and in 2013 took the top spot ahead of Dell.",HP has dominated.,Apple.
Who made a proposal for a General European Treaty on Collective Identity in Europe?,"Consequently, Molotov, fearing that EDC would be directed in the future against the USSR therefore ""seeking to prevent the formation of groups of European States directed against other European States"", made a proposal for a General European Treaty on Collective Security in Europe ""open to all European States without regard as to their social systems"" which would have included the unified Germany (thus making the EDC – perceived by the USSR as a threat – unusable). But Eden, Dulles and Bidault opposed the proposal.",Alain de Benoist,Molotov.
What was Captain Joubert Fritz Duquesne serving a sentence for?,"The most famous escapee was the Boer prisoner of war Captain Fritz Joubert Duquesne who was serving a life sentence for ""conspiracy against the British government and on (the charge of) espionage."". On the night of 25 June 1902, Duquesne slipped out of his tent, worked his way over a barbed-wire fence, swam 1.5 miles (2.4 km) past patrol boats and bright spot lights, through storm-wracked, shark infested waters, using a distant lighthouse for navigation until he arrived ashore on the main island. From there he escaped to the port of St. George's and a week later, he stowed away on a boat heading to Baltimore, Maryland. He settled in the US and later became a spy for Germany in both World Wars. In 1942, Col. Duquesne was arrested by the FBI for leading the Duquesne Spy Ring, which still to this day the largest espionage case in the history of the United States.",I couldn't find any information on Captain Joubert Fritz Duquesne.,Conspiracy against the British government and espionage.
When did William Graham Winter teach?,"The Yale Report of 1828 was a dogmatic defense of the Latin and Greek curriculum against critics who wanted more courses in modern languages, mathematics, and science. Unlike higher education in Europe, there was no national curriculum for colleges and universities in the United States. In the competition for students and financial support, college leaders strove to keep current with demands for innovation. At the same time, they realized that a significant portion of their students and prospective students demanded a classical background. The Yale report meant the classics would not be abandoned. All institutions experimented with changes in the curriculum, often resulting in a dual track. In the decentralized environment of higher education in the United States, balancing change with tradition was a common challenge because no one could afford to be completely modern or completely classical. A group of professors at Yale and New Haven Congregationalist ministers articulated a conservative response to the changes brought about by the Victorian culture. They concentrated on developing a whole man possessed of religious values sufficiently strong to resist temptations from within, yet flexible enough to adjust to the 'isms' (professionalism, materialism, individualism, and consumerism) tempting him from without. William Graham Sumner, professor from 1872 to 1909, taught in the emerging disciplines of economics and sociology to overflowing classrooms. He bested President Noah Porter, who disliked social science and wanted Yale to lock into its traditions of classical education. Porter objected to Sumner's use of a textbook by Herbert Spencer that espoused agnostic materialism because it might harm students.",I couldn't find any information on a person named William Graham Winter.,I do not know.
In what year did Fred Sanger first establish the complete nucleotide sequence of  a viral RNA genome?,"In 1976, Walter Fiers at the University of Ghent (Belgium) was the first to establish the complete nucleotide sequence of a viral RNA-genome (Bacteriophage MS2). The next year Fred Sanger completed the first DNA-genome sequence: Phage Φ-X174, of 5386 base pairs. The first complete genome sequences among all three domains of life were released within a short period during the mid-1990s: The first bacterial genome to be sequenced was that of Haemophilus influenzae, completed by a team at The Institute for Genomic Research in 1995. A few months later, the first eukaryotic genome was completed, with sequences of the 16 chromosomes of budding yeast Saccharomyces cerevisiae published as the result of a European-led effort begun in the mid-1980s. The first genome sequence for an archaeon, Methanococcus jannaschii, was completed in 1996, again by The Institute for Genomic Research.",Fred Sanger 1965,I do not know.
What started with a series of real pets?,"The franchise was first created in 1997 as a series of virtual pets, akin to—and influenced in style by—the contemporary Tamagotchi or nano Giga Pet toys. The creatures were first designed to look cute and iconic even on the devices' small screens; later developments had them created with a harder-edged style influenced by American comics. The franchise gained momentum with its first anime incarnation, Digimon Adventure, and an early video game, Digimon World, both released in 1999. Several seasons of the anime and films based on them have aired, and the video game series has expanded into genres such as role-playing, racing, fighting, and MMORPGs. Other media forms have also been released.",What started with a series of real pets?,Tamagotchi
What market made up the minority of Dell's sales?,"The slowing sales growth has been attributed to the maturing PC market, which constituted 66% of Dell's sales, and analysts suggested that Dell needed to make inroads into non-PC businesses segments such as storage, services and servers. Dell's price advantage was tied to its ultra-lean manufacturing for desktop PCs, but this became less important as savings became harder to find inside the company's supply chain, and as competitors such as Hewlett-Packard and Acer made their PC manufacturing operations more efficient to match Dell, weakening Dell's traditional price differentiation. Throughout the entire PC industry, declines in prices along with commensurate increases in performance meant that Dell had fewer opportunities to upsell to their customers (a lucrative strategy of encouraging buyers to upgrade the processor or memory). As a result, the company was selling a greater proportion of inexpensive PCs than before, which eroded profit margins. The laptop segment had become the fastest-growing of the PC market, but Dell produced low-cost notebooks in China like other PC manufacturers which eliminated Dell's manufacturing cost advantages, plus Dell's reliance on Internet sales meant that it missed out on growing notebook sales in big box stores. CNET has suggested that Dell was getting trapped in the increasing commoditization of high volume low margin computers, which prevented it from offering more exciting devices that consumers demanded.",Laptop market,Non-PC businesses.
What does Philo believe those who take the image of darkness literally are doing?,"Modern biblical scholarship treats the account in the synoptic gospels as a literary creation by the author of the Mark Gospel, amended in the Luke and Matthew accounts, intended to heighten the importance of what they saw as a theologically significant event, and not intended to be taken literally. This image of darkness over the land would have been understood by ancient readers, a typical element in the description of the death of kings and other major figures by writers such as Philo, Dio Cassius, Virgil, Plutarch and Josephus. Géza Vermes describes the darkness account as typical of ""Jewish eschatological imagery of the day of the Lord"", and says that those interpreting it as a datable eclipse are ""barking up the wrong tree"".",They are idolatrous.,I do not know.
