context,question,golden_answer,our_answer_without_context,our_answer_with_context,entropy_without_context,entropy_with_context,clean_entropy_without_context,clean_entropy_with_context,token_sar_without_context,token_sar_with_context,cotype_is_correct_without_context,cotype_is_correct_with_context,chatgpt_is_correct_without_context,chatgpt_is_correct_with_context,is_lack_of_info_without_context,is_lack_of_info_with_context
"U.S. Route 40 National Road Victory Highway Route information Length 2,285.74 mi ( 3,678.54 km ) Existed 1926 -- present Major junctions West end I ‐ 80 / US 189 in Silver Summit , UT I ‐ 25 in Denver , CO I ‐ 35 in Kansas City , MO I ‐ 55 / I ‐ 64 / I ‐ 70 in East St. Louis , IL I ‐ 57 in Effingham , IL I ‐ 65 / I ‐ 69 / I ‐ 70 / I ‐ 74 in Indianapolis , IN I ‐ 75 near Dayton , OH I ‐ 77 in Cambridge , OH I ‐ 79 in Washington , PA I ‐ 81 in Hagerstown , MD I ‐ 95 in Baltimore , MD East end US 322 in Atlantic City , NJ Location States Utah , Colorado , Kansas , Missouri , Illinois , Indiana , Ohio , West Virginia , Pennsylvania , Maryland , Delaware , New Jersey Highway system United States Numbered Highway System List Special Divided Replaced ← K - 39 KS K - 41 → ← Route 39 MO Route 41 → ← I - 39 IL IL 40 → ← SR 39 IN US 41 → ← SR 39 OH SR 40 →",where does us highway 40 begin and end,"Silver Summit , UT I ‐ 25 in Denver , CO I ‐ 35 in Kansas City , MO I ‐ 55 / I ‐ 64 / I ‐ 70 in East St. Louis , IL I ‐ 57 in Effingham , IL I ‐ 65 / I ‐ 69 / I ‐ 70 / I ‐ 74 in Indianapolis , IN I ‐ 75 near Dayton , OH I ‐ 77 in Cambridge , OH I ‐ 79 in Washington , PA I ‐ 81 in Hagerstown , MD I ‐ 95 in Baltimore , MD East end US 322 in Atlantic City , NJ","US Highway 40 (US-40) is a United States highway that spans approximately 2,555 miles (4,110 km) and runs from Atlantic City, New Jersey to Barstow, California.","US Highway 40 begins in Silver Summit, UT and ends in Atlantic City, NJ.",0.6083,0.2451,0.6836,0.2461,0.2477,0.1173,0.5,1.0,0.0,1.0,0,0
"This list includes music artists with claims of 75 million or more record sales . The artists in the following tables are listed with both their claimed sales figure along with their total of certified units and are ranked in descending order , with the artist with the highest amount of claimed sales at the top . If two or more artists have the same claimed sales , they are then ranked by certified units . The claimed sales figure and the total of certified units ( for each country ) within the provided sources include sales of albums , singles , compilation - albums , music videos as well as downloads of singles and full - length albums . Sales figures , such as those from Soundscan , which are sometimes published by Billboard magazine , have not been included in the certified units column . As of 2017 , based on both sales claims and certified units , The Beatles are considered the highest - selling band . Elvis Presley is considered the highest - selling individual artist based on sales claims and Rihanna is the highest - selling individual artist based on certified units .",who is the top selling female artist of all time,Rihanna,"According to the Recording Industry Association of America (RIAA), the top-selling female artist of all time is Madonna.",The information provided does not specify the top-selling female artist of all time.,0.2688,0.9484,0.2931,0.6873,0.2178,0.4686,0.0,0.0,0.0,0.0,0,0
"A decade is a period of ten years . The word is derived ( via French and Latin ) from the Ancient Greek : δεκάς ( / ðɛkˈɑːs / , transliteration = dekas ) , which means a group of ten . Other words for spans of years also come from Latin : biennium ( 2 years ) , triennium ( 3 years ) , quadrennium ( 4 years ) , lustrum ( 5 years ) , century ( 100 years ) , millennium ( 1000 years ) .",1 decade is equal to how many years,ten years,10 years,10 years,0.4012,0.7727,0.4012,0.7727,0.0665,0.4446,1.0,1.0,1.0,1.0,1,1
"The Major League Baseball ( MLB ) season schedule consists of 162 games for each of the 30 teams in the American League ( AL ) and National League ( NL ) , played over approximately six months -- a total of 2,430 games , plus the postseason . The regular season runs from late March / early April to late September / early October , followed by the postseason which can run to early November . The season begins with the official Opening Day , and , as of 2018 , runs 261⁄2 weeks through the last Sunday of September or first Sunday of October . One or more International Opener games may be scheduled outside the United States before the official Opening Day . It is possible for a given team to play a maximum of 20 games in the postseason in a given year , provided the team is a wild card and advances to each of the Division Series , Championship Series , and World Series with each series going the distance ( 5 games in the Division Series , 7 games each in the League Championship Series / World Series ) .",how many games does the mlb play in a season,"2,430 games , plus the postseason",162 games.,162 games.,0.9642,0.5815,0.8988,0.4473,0.7394,0.2401,0.5,0.5,0.5,0.5,1,0
"Harassment covers a wide range of behaviors of an offensive nature . It is commonly understood as behavior that demeans , humiliates or embarrasses a person , and it is characteristically identified by its unlikelihood in terms of social and moral reasonableness . In the legal sense , these are behaviors that appear to be disturbing , upsetting or threatening . It evolves from discriminatory grounds , and has an effect of nullifying or impairing a person from benefiting their rights . When this behaviors become repetitive it is defined as bullying . Sexual harassment refers to persistent and unwanted sexual advances even after gently refusing , typically in the workplace , where the consequences are potentially very disadvantageous to the victim if there is a power imbalance between the perpetuator .",what is the definition of the word harassment,"behavior that demeans , humiliates or embarrasses a person","Harassment is a pattern of behavior that is intended to intimidate, threaten, or humiliate another person, often repeatedly over a period of time. It can take many forms, including verbal, physical, or non-verbal actions, and can be committed by an individual, group, or organization.","The definition of harassment is:

1. Behavior that demeans, humiliates, or embarrasses a person, and is unreasonable in terms of social and moral standards.
2. Behavior that appears disturbing, upsetting, or threatening, and has the effect of nullifying or impairing a person's rights.
3. Repetitive behavior that is bullying.
4. Persistent and unwanted sexual advances, typically in the workplace, where there is a power imbalance between the perpetrator and the victim.",0.4942,0.3809,0.6057,0.3837,0.2838,0.1672,1.0,0.5,0.5,0.5,0,0
"Mission San Carlos Borromeo de Carmelo The façade of the capilla ( chapel ) at Mission San Carlos Borromeo de Carmelo . Location in the Monterey Peninsula Location 3080 Rio Rd. Carmel - by - the - Sea , California , 93923 Coordinates 36 ° 32 ′ 34 '' N 121 ° 55 ′ 7 '' W ﻿ / ﻿ 36.54278 ° N 121.91861 ° W ﻿ / 36.54278 ; - 121.91861 Coordinates : 36 ° 32 ′ 34 '' N 121 ° 55 ′ 7 '' W ﻿ / ﻿ 36.54278 ° N 121.91861 ° W ﻿ / 36.54278 ; - 121.91861 Name as founded La Misión San Carlos Borromeo del Río Carmelo English translation The Mission of Saint Charles Borromeo of the Carmel River Patron Saint Charles Borromeo Nickname ( s ) `` Father of the Alta California Missions '' Founding date June 3 , 1770 Founding priest ( s ) Father Presidente Junípero Serra Founding Order Second Headquarters of the Alta California Mission System 1771 -- 1815 ; 1819 -- 1824 ; 1827 -- 1830 Military district Third Native tribe ( s ) Spanish name ( s ) Esselen , Ohlone Costeño Native place name ( s ) Ekheya Baptisms 3,827 Marriages 1,032 Burials 2,837 Secularized 1834 Returned to the Church 1859 Governing body Roman Catholic Diocese of Monterey Current use Parish Church / Minor Basilica U.S. National Register of Historic Places Official name : Carmel Mission Designated October 15 , 1966 Reference no . 66000214 U.S. National Historic Landmark Designated October 9 , 1960 California Historical Landmark Reference no . 135 Website http://carmelmission.org",what does mission san carlos borromeo de carmelo mean in english,The Mission of Saint Charles Borromeo of the Carmel River,"Mission San Carlos Borromeo de Carmelo is a Spanish phrase that translates to ""Mission of Saint Charles Borromeo of Carmel"" in English.","The English translation of ""Mission San Carlos Borromeo de Carmelo"" is ""The Mission of Saint Charles Borromeo of the Carmel River"".",0.5202,0.0843,0.5702,0.0467,0.2069,0.0231,1.0,1.0,1.0,1.0,0,0
`` The Fighter '' Single by Keith Urban featuring Carrie Underwood from the album Ripcord Released 6 February 2017 ( 2017 - 02 - 06 ) Format Digital download Recorded 2016 Genre Country pop Dance - pop Synth - Pop Length 3 : 04 Label Hit Red Capitol Nashville Songwriter ( s ) Keith Urban busbee Producer ( s ) Keith Urban busbee Keith Urban singles chronology `` Blue Ai n't Your Color '' ( 2016 ) `` The Fighter '' ( 2017 ) `` Female '' ( 2017 ) `` Blue Ai n't Your Color '' ( 2016 ) `` The Fighter '' ( 2017 ) `` Female '' ( 2017 ) Carrie Underwood singles chronology `` Dirty Laundry '' ( 2016 ) Dirty Laundry 2016 `` The Fighter '' ( 2017 ) The Fighter2017 `` The Champion '' ( 2018 ) The Champion 2018,who wrote the song the fighter by keith urban,Keith Urban busbee,"The song ""The Fighter"" is by Keith Urban, featuring Carrie Underwood.","The song ""The Fighter"" was written by Keith Urban and busbee.",0.6941,0.52,0.754,0.4611,0.2416,0.2141,1.0,1.0,0.5,1.0,0,0
"Stromatolites ( / stroʊˈmætəlaɪts , strə - / ) or stromatoliths ( from Greek στρῶμα strōma `` layer , stratum '' ( GEN στρώματος strōmatos ) , and λίθος lithos `` rock '' ) are layered mounds , columns , and sheet - like sedimentary rocks that were originally formed by the growth of layer upon layer of cyanobacteria , a single - celled photosynthesizing microbe . Fossilized stromatolites , some of which may date from 3.7 billion years ago , provide records of ancient life on Earth . Lichen stromatolites are a proposed mechanism of formation of some kinds of layered rock structure that are formed above water , where rock meets air , by repeated colonization of the rock by endolithic lichens .",stromatolites found in western australia are are produced by which organism,cyanobacteria,Stromatolites in Western Australia are produced by cyanobacteria.,Cyanobacteria,0.435,0.2986,0.4348,0.2986,0.1907,0.0354,1.0,1.0,1.0,1.0,0,0
"Utah Jazz 2017 -- 18 Utah Jazz season Conference Western Division Northwest Founded History New Orleans Jazz 1974 -- 1979 Utah Jazz 1979 -- present Arena Vivint Smart Home Arena Location Salt Lake City , Utah Team colors Navy , gold , green Main sponsor Qualtrics President Steve Starks General manager Dennis Lindsey Head coach Quin Snyder Ownership Jazz Basketball Investors , Inc. ( represented by Gail Miller , widow of Larry H. Miller ) Affiliation ( s ) Salt Lake City Stars Championships 0 Conference titles 2 ( 1997 , 1998 ) Division titles 9 ( 1984 , 1989 , 1992 , 1997 , 1998 , 2000 , 2007 , 2008 , 2017 ) Retired numbers 11 ( 1 , 4 , 7 , 9 , 12 , 14 , 32 , 35 , 53 , 1223 , Microphone ) Website www.nba.com/jazz Uniforms Home Away Third",what are the colors for the utah jazz,"Navy , gold , green","The Utah Jazz team colors are:

- Navy blue
- Gold","The colors for the Utah Jazz are Navy, gold, and green.",0.8805,0.255,1.1715,0.2636,0.497,0.114,0.5,1.0,0.5,1.0,0,0
"The Economic Stimulus Act of 2008 ( Pub. L. 110 -- 185 , 122 Stat. 613 , enacted February 13 , 2008 ) was an Act of Congress providing for several kinds of economic stimuli intended to boost the United States economy in 2008 and to avert a recession , or ameliorate economic conditions . The stimulus package was passed by the U.S. House of Representatives on January 29 , 2008 , and in a slightly different version by the U.S. Senate on February 7 , 2008 . The Senate version was then approved in the House the same day . It was signed into law on February 13 , 2008 by President Bush with the support of both Democratic and Republican lawmakers . The law provides for tax rebates to low - and middle - income U.S. taxpayers , tax incentives to stimulate business investment , and an increase in the limits imposed on mortgages eligible for purchase by government - sponsored enterprises ( e.g. , Fannie Mae and Freddie Mac ) . The total cost of this bill was projected at $152 billion for 2008 .",the stimulus package proposed by the bush administration in early 2008 relied upon,"tax rebates to low - and middle - income U.S. taxpayers , tax incentives to stimulate business investment , and an increase in the limits imposed on mortgages eligible for purchase by government - sponsored enterprises","The stimulus package proposed by the Bush administration in early 2008 relied upon the Economic Stimulus Act of 2008, which was signed into law on February 17, 2008.",The stimulus package proposed by the Bush administration in early 2008 relied upon tax incentives to stimulate business investment.,0.5594,0.267,0.5167,0.2328,0.2816,0.0651,0.5,0.5,0.0,0.5,0,0
"In regulatory jurisdictions that provide for this ( a list including most or all developed countries with free market economies ) consumer protection is a group of laws and organizations designed to ensure the rights of consumers , as well as fair trade , competition , and accurate information in the marketplace . The laws are designed to prevent the businesses that engage in fraud or specified unfair practices from gaining an advantage over competitors . They may also provide additional protection for those most vulnerable in society . Consumer protection laws are a form of government regulation that aim to protect the rights of consumers . For example , a government may require businesses to disclose detailed information about products -- particularly in areas where safety or public health is an issue , such as food .",purpose of consumer legislation in relation to retail,"to ensure the rights of consumers , as well as fair trade , competition , and accurate information in the marketplace","The purpose of consumer legislation in relation to retail includes:

1. Protecting consumers from unfair or deceptive business practices.
2. Ensuring product safety and quality.
3. Providing consumers with clear information about products and services.
4. Regulating pricing and advertising practices.
5. Offering recourse for consumers who have been misled or harmed.
6. Promoting transparency and accountability in business practices.
7. Protecting consumers' rights to refund, exchange, or repair products.
8. Regulating data protection and","The purpose of consumer legislation in relation to retail is to:

1. Ensure the rights of consumers
2. Promote fair trade
3. Ensure competition
4. Provide accurate information in the marketplace
5. Prevent businesses from engaging in fraud or unfair practices
6. Protect vulnerable individuals in society.",0.6666,0.2775,0.8359,0.2808,0.3066,0.1272,1.0,0.5,0.5,1.0,0,0
"Milky Chance Background information Origin Kassel , Germany Genres Alternative rock electronic reggae folk Indie Years active 2012 -- present Labels Muggelig Records Lichtdicht Ignition Records Website milkychanceofficial.com Members Clemens Rehbein Philipp Dausch Antonio Greger since 2015 Sebastian Schmidt since 2017",what type of music does milky chance sing,Alternative rock electronic reggae folk Indie,Milky Chance is a British indie folk duo that sings a genre of music known as indie folk or folk pop.,Alternative rock,1.1065,1.373,1.0717,1.373,0.4655,0.5663,0.5,0.5,0.5,0.5,0,0
"Croatian War of Independence Part of the Yugoslav Wars Clockwise from top left : the central street of Dubrovnik , the Stradun , in ruins during the Siege of Dubrovnik ; the damaged Vukovar water tower , a symbol of the early conflict , flying the Flag of Croatia ; soldiers of the Croatian Army preparing to destroy a Serbian tank ; the Vukovar Memorial Cemetery ; a Serbian T - 55 tank destroyed on the road to Drniš Date 31 March 1991 -- 12 November 1995 ( 4 years , 7 months , 1 week and 5 days ) Location Croatia Result Croatian victory Croatian forces regain control over most of RSK - held Croatian territory ; Croatian forces advance into Bosnia and Herzegovina which leads to the eventual end of the Bosnian War . Territorial changes The Croatian government gains control over the vast majority of Croatian territory previously held by rebel Serbs , with the remainder coming under UNTAES control . Belligerents Croatia Republic of Bosnia and Herzegovina ( 1994 -- 95 ) Republic of Serbian Krajina Yugoslav People 's Army ( JNA ) ( controlled by SR Serbia ) ( 1991 -- 92 ) Republika Srpska ( 1992 -- 95 ) Commanders and leaders Franjo Tuđman Gojko Šušak Anton Tus Janko Bobetko Zvonimir Červenko Petar Stipetić Atif Dudaković Slobodan Milošević Milan Martić Milan Babić Goran Hadžić Mile Mrkšić Veljko Kadijević Jovica Stanišić Franko Simatović Radovan Karadžić Ratko Mladić Strength Croatia 70,000 ( 1991 ) 200,000 ( 1995 ) JNA 145,000 ( 1991 ) RSK 50,000 ( 1995 ) Casualties and losses Croatia 6,788 -- 8,784 soldiers and 4,508 -- 7,186 civilians killed or missing 220,000 displaced RSK 4,177 soldiers and 2,650 civilians killed or missing 300,000 displaced JNA 1,279 soldiers killed",who won the war between croatia and serbia,Croatia,There was no war between Croatia and Serbia.,Croatia.,0.8712,0.3649,0.9244,0.1869,0.3755,0.2238,0.0,1.0,0.0,1.0,0,0
"The DTV ( an abbreviation of digital television , also called digital broadcast ) transition in the United States was the switchover from analog ( the traditional method of transmitting television signals ) to exclusively digital broadcasting of free over-the - air television programming . According to David Rehr , then president and CEO of the National Association of Broadcasters , this transition represented `` the most significant advancement of television technology since color TV was introduced . '' For full - power TV stations , the transition went into effect on June 12 , 2009 , with stations ending regular programming on their analog signals no later than 11 : 59pm local time that day .",when were tvs required to have digital tuners,"June 12 , 2009","TVs were required to have digital tuners in the United States starting in 2007, as part of the Digital Television Transition Act of 2005.",TVs were not required to have digital tuners at the time of the DTV transition in the United States.,0.8342,0.6325,0.795,0.5496,0.3336,0.3254,0.5,0.0,0.5,0.0,0,0
"Interracial marriage is a form of marriage outside a specific social group ( exogamy ) involving spouses who belong to different socially - defined races or racialized ethnicities . In the past , it was outlawed in the United States of America and in South Africa as miscegenation . It became legal in the entire United States in 1967 when the Supreme Court of the United States ruled in the case Loving v. Virginia that race - based restrictions on marriages violated the Equal Protection Clause of the United States Constitution .",when did interracial marriage become legal in all 50 states,1967,1967,1967,1.3707,0.3394,1.3707,0.3394,0.6105,0.0323,1.0,1.0,1.0,1.0,1,0
"Boardwalk Empire Genre Crime drama Period drama Serial drama Created by Terence Winter Based on Boardwalk Empire : The Birth , High Times , and Corruption of Atlantic City by Nelson Johnson Starring Steve Buscemi Michael Pitt Kelly Macdonald Michael Shannon Shea Whigham Aleksa Palladino Michael Stuhlbarg Stephen Graham Vincent Piazza Paz de la Huerta Michael Kenneth Williams Anthony Laciura Paul Sparks Dabney Coleman Jack Huston Gretchen Mol Charlie Cox Bobby Cannavale Ron Livingston Jeffrey Wright Ben Rosenfield Theme music composer The Brian Jonestown Massacre Opening theme `` Straight Up and Down '' Country of origin United States Original language ( s ) English No. of seasons 5 No. of episodes 56 ( list of episodes ) Production Executive producer ( s ) Terence Winter Martin Scorsese Mark Wahlberg Tim Van Patten Howard Korder Stephen Levinson Production location ( s ) New York City Editor ( s ) Kate Stanford Tim Streeto Camera setup Single - camera Running time 50 -- 60 minutes Production company ( s ) HBO Entertainment Leverage Entertainment Closest to the Hole Productions Sikelia Productions Cold Front Productions Distributor HBO Enterprises Release Original network HBO Original release September 19 , 2010 ( 2010 - 09 - 19 ) -- October 26 , 2014 ( 2014 - 10 - 26 ) External links Website",who wrote the theme song for boardwalk empire,The Brian Jonestown Massacre,The theme song for Boardwalk Empire was composed by Steve Jablonsky.,"The theme song for Boardwalk Empire is ""Straight Up and Down"" by The Brian Jonestown Massacre.",0.8247,0.2663,0.9017,0.1763,0.5385,0.1006,0.0,1.0,0.0,1.0,0,0
"The Five Crowns , also known as the Five Heavenly Crowns , is a concept in Christian theology that pertains to the five crowns that individuals can receive after the Last Judgment . These are the Crown of Life , the Incorruptible Crown , the Crown of Righteousness , the Crown of Glory , and the Crown of Exultation . In the Greek language , stephanos ( στέφανος ) is the word for crown and is translated as such in the Bible , especially in versions descending from the King James Version . These five rewards can be earned by believers , according to the New Testament , as `` rewards for faithfulness in this life '' .",what are the five crown in the bible,"Crown of Life , the Incorruptible Crown , the Crown of Righteousness , the Crown of Glory , and the Crown of Exultation","In the Bible, the five crowns are:

1. The Crown of Thorns
2. The Crown of Thorns (also known as the Crown of Glory)
3. The Crown of Life
4. The Crown of Righteousness
5. The Crown of Glory","The five crowns in the Bible are:

1. The Crown of Life
2. The Incorruptible Crown
3. The Crown of Righteousness
4. The Crown of Glory
5. The Crown of Exultation",0.8706,0.1685,1.0887,0.1314,0.2924,0.0727,0.5,1.0,0.5,1.0,0,0
"I 'm a Celebrity ... Get Me Out of Here ! Genre Reality television , Survival , Game show Created by Granada Television ( now part of ITV Studios as ITV Granada ) Developed by LWT James Allen , Natalka Znak , Brent Baker and Stewart Morris . Directed by Ian Hamilton ( 2002 ) Chris Power ( 2003 -- ) Presented by Anthony McPartlin Declan Donnelly Country of origin United Kingdom Original language ( s ) English No. of series 17 No. of episodes 182 Production Executive producer ( s ) Richard Cowles Chris Brogden Becca Walker Location ( s ) Gold Coast , Queensland , Australia Camera setup Multiple - camera setup Running time 60 -- 120 mins ( including adverts ) Production company ( s ) LWT / Granada Television ( 2002 ) Granada Productions ( 2002 -- 05 ) ITV Productions ( 2006 -- 08 ) ITV Studios ( 2009 -- ) Release Original network ITV Picture format 16 : 9 ( 2002 -- 09 ) 1080i HDTV ( 2010 -- ) Audio format Stereo Original release 25 August 2002 ( 2002 - 08 - 25 ) -- present Chronology Related shows I 'm a Celebrity : Extra Camp External links Website www.itv.com/celebrity",who has presented i'm a celebrity get me outta here now,Anthony McPartlin Declan Donnelly,"Ant & Dec have presented ""I'm a Celebrity...Get Me Out of Here!""",Anthony McPartlin,0.5225,0.5347,0.6264,0.5347,0.2176,0.1798,1.0,0.5,1.0,0.5,0,0
"The Battle of the Little Bighorn Part of The Great Sioux War of 1876 The Custer Fight by Charles Marion Russell Date June 25 -- 26 , 1876 Location Near Little Bighorn River , Crow Indian Reservation , Big Horn County , Montana , U.S. 45 ° 33 ′ 54 '' N 107 ° 25 ′ 44 '' W ﻿ / ﻿ 45.56500 ° N 107.42889 ° W ﻿ / 45.56500 ; - 107.42889 ﻿ ( The Battle of Little BigHorn ) Coordinates : 45 ° 33 ′ 54 '' N 107 ° 25 ′ 44 '' W ﻿ / ﻿ 45.56500 ° N 107.42889 ° W ﻿ / 45.56500 ; - 107.42889 ﻿ ( The Battle of Little BigHorn ) Result Lakota , Northern Cheyenne and Arapaho victory Belligerents Lakota Dakota Northern Cheyenne Arapaho United States Crow scouts Arikara scouts Commanders and leaders Sitting Bull Crazy Horse Chief Gall Lame White Man † Two Moon George A. Custer † Marcus Reno Frederick Benteen Myles Keogh † James Calhoun † Units involved Irregular military 7th Cavalry Regiment Strength 2,500 warriors ~ 700 cavalrymen and scouts Casualties and losses 31 ( or to 130 -- 300 ) killed Up to 160 wounded 268 killed 55 wounded ( 6 of whom later died of wounds ) 10 Non-combatant natives killed Little Big Horn Battlefield Location within Montana",who won the battle of the little bighorn,"Lakota , Northern Cheyenne and Arapaho","The Battle of Little Bighorn was won by the combined forces of the Lakota, Cheyenne, and Arapaho tribes, led by Crazy Horse, Sitting Bull, and Gall, against the 7th Cavalry Regiment led by Lt. Col. George Armstrong Custer.","The Lakota, Northern Cheyenne, and Arapaho won the Battle of the Little Bighorn.",0.353,0.1217,0.4037,0.1072,0.1393,0.0433,1.0,1.0,1.0,1.0,0,0
"`` Take My Hand , Precious Lord '' ( a.k.a. `` Precious Lord , Take My Hand '' ) is a gospel song . The lyrics were written by the Rev. Thomas A. Dorsey , who also adapted the melody .",who wrote the song take my hand precious lord,the Rev. Thomas A. Dorsey,"I couldn't find any information on a song called ""Take My Hand, Precious Lord.""","The song ""Take My Hand, Precious Lord"" was written by Rev. Thomas A. Dorsey.",0.6505,0.2342,0.6386,0.2025,0.3171,0.0807,0.0,1.0,0.0,1.0,0,0
"The Chauri Chaura incident occurred at Chauri Chaura in the Gorakhpur district of the United Province , ( modern Uttar Pradesh ) in British India on 5 February 1922 , when a large group of protesters , participating in the Non-cooperation movement , clashed with police , who opened fire . In retaliation the demonstrators attacked and set fire to a police station , killing all of its occupants . The incident led to the deaths of three civilians and 22 or 23 policemen . Mahatma Gandhi , who was strictly against violence , halted the Non-cooperation Movement on the national level on 12 February 1922 , as a direct result of this incident .",the chauri chaura incident caused the end of this movement,"the Non-cooperation movement ,",The Chauri Chaura incident led to the end of the Non-Cooperation Movement in India.,The end of the Non-cooperation movement.,0.6699,0.6353,0.6655,0.5021,0.2373,0.2361,1.0,1.0,1.0,1.0,0,0
"Nigeria Nickname ( s ) Super Eagles Association Nigeria Football Federation Confederation CAF ( Africa ) Sub-confederation WAFU ( West Africa ) Head coach Gernot Rohr Captain John Obi Mikel Most caps Vincent Enyeama ( 101 ) Joseph Yobo ( 101 ) Top scorer Rashidi Yekini ( 37 ) Home stadium Abuja National Stadium FIFA code NGA First colours Second colours FIFA ranking Current 47 5 ( 12 April 2018 ) Highest 5 ( April 1994 ) Lowest 82 ( November 1999 ) Elo ranking Current 43 ( 8 April 2018 ) Highest 15 ( 31 May 2004 ) Lowest 72 ( 27 December 1964 ) First international Sierra Leone 0 -- 2 Nigeria ( Freetown , Sierra Leone ; 8 October 1949 ) Biggest win Nigeria 10 -- 1 Dahomey ( Lagos , Nigeria ; 28 November 1959 ) Biggest defeat Gold Coast and British Togoland 7 -- 0 Nigeria ( Accra , Gold Coast ; 1 June 1955 ) World Cup Appearances 6 ( first in 1994 ) Best result Round of 16 , 1994 , 1998 and 2014 Africa Cup of Nations Appearances 17 ( first in 1963 ) Best result Champions , 1980 , 1994 and 2013 African Nations Championship Appearances 3 ( first in 2014 ) Best result Runners up , 2018 Confederations Cup Appearances 2 ( first in 1995 ) Best result Fourth Place , 1995",who is the current coach of the nigerian super eagles,Gernot Rohr,I don't have the most current information on the coach of the Nigerian Super Eagles.,Gernot Rohr,0.4315,0.2429,0.4389,0.2429,0.1893,0.0596,0.0,1.0,0.0,0.0,1,0
"In project management , a project charter , project definition , or project statement is a statement of the scope , objectives , and participants in a project . It provides a preliminary delineation of roles and responsibilities , outlines the project objectives , identifies the main stakeholders , and defines the authority of the project manager . It serves as a reference of authority for the future of the project . The terms of reference are usually part of the project charter .",what needs to be in a project charter,"scope , objectives , and participants","A project charter typically includes:

1. Project name and description
2. Project objectives and scope
3. Stakeholders and their roles
4. Project manager's name and contact information
5. Project sponsor's name and contact information
6. Project timeline and milestones
7. Budget and resources
8. Project risks and assumptions
9. Project deliverables
10. Authority and approval process","Based on the given context, a project charter should include:

1. Scope
2. Objectives
3. Participants
4. Roles and responsibilities
5. Main stakeholders
6. Authority of the project manager
7. Terms of reference",0.6643,0.1755,0.91,0.2046,0.2878,0.0787,0.5,0.5,0.5,0.5,0,0
"In Catholicism , the Miracle of Lanciano is a Eucharistic miracle purported to have occurred in the eighth century in the city of Lanciano , Italy . According to tradition , a monk who had doubts about the real presence of Christ in the Eucharist found , when he said the words of consecration at Mass , that the bread and wine changed into flesh and blood . The Catholic Church officially claims the miracle as authentic .",eucharistic miracle in lanciano italy in 750 a.d,Miracle of Lanciano,"There is no recorded eucharistic miracle in Lanciano, Italy in 750 AD.",In 750 A.D.,0.5275,0.9799,0.4427,0.756,0.4182,0.3956,0.0,0.5,0.0,0.5,0,0
"Over the 140 years of Major League Baseball history , and over 210,000 games played , there have been 23 official perfect games by the current definition . No pitcher has ever thrown more than one . The perfect game thrown by Don Larsen in game 5 of the 1956 World Series is the only postseason perfect game in major league history and one of only two postseason no - hitters . The first two major league perfect games , and the only two of the premodern era , were thrown in 1880 , five days apart . The most recent perfect game was thrown on August 15 , 2012 , by Félix Hernández of the Seattle Mariners . There were three perfect games in 2012 ; the only other year of the modern era in which as many as two were thrown was 2010 . By contrast , there have been spans of 23 and 33 consecutive seasons in which not a single perfect game was thrown . Though two perfect - game bids have gone into extra innings , no extra-inning game has ever been completed to perfection .",how many major league pitchers have thrown a perfect game,23,There have been 23 perfect games in Major League Baseball history.,23.,0.4424,0.3865,0.2432,0.4536,0.1234,0.151,1.0,1.0,1.0,1.0,0,1
"Battle of Salamis Part of the Greco - Persian Wars A romantic version painting of the battle by artist Wilhelm von Kaulbach Date September , 480 BC Location Straits of Salamis 37 ° 57 ′ 5 '' N 23 ° 34 ′ 0 '' E ﻿ / ﻿ 37.95139 ° N 23.56667 ° E ﻿ / 37.95139 ; 23.56667 Coordinates : 37 ° 57 ′ 5 '' N 23 ° 34 ′ 0 '' E ﻿ / ﻿ 37.95139 ° N 23.56667 ° E ﻿ / 37.95139 ; 23.56667 Result Decisive Greek victory . Territorial changes Persia fails to conquer the Peloponnese . Belligerents Greek city - states Achaemenid Empire Commanders and leaders Eurybiades Themistocles Xerxes I of Persia Artemisia I of Caria Achaemenes Ariabignes † Damasithymos † Strength 371 -- 378 ships ~ 900 -- 1207 ships 600 -- 800 ships Casualties and losses 40 ships 200 -- 300 ships ? Jump up ^ Herodotus gives 378 ships of the alliance , but his numbers add up to 371 . Jump up ^ As suggested by several ancient sources Jump up ^ Modern estimates Location of the naval battle of Salamis within modern Greece",who won the battle of thermopylae and salamis,Greece,"The Battle of Thermopylae was won by the Persian Empire under King Xerxes I, but at great cost. 

The Battle of Salamis was won by the Greek fleet under the command of Themistocles.",The Greeks won the Battle of Salamis.,0.6132,0.3344,0.5672,0.3891,0.329,0.0986,0.5,1.0,0.5,0.5,0,0
The rule of four is a Supreme Court of the United States practice that permits four of the nine justices to grant a writ of certiorari . This is done specifically to prevent a majority of the Court from controlling the Court 's docket .,the rule of four in supreme court procedure provides that four judges,permits four of the nine justices to grant a writ of certiorari,The rule of four in Supreme Court procedure provides that four judges must concur in an order or decision.,The rule of four is a Supreme Court of the United States practice that permits four justices to grant a writ of certiorari.,0.8829,0.5384,0.8012,0.4751,0.4104,0.179,0.5,1.0,0.0,1.0,0,0
