question_id,question,reference,context,our_answer_wo_context,our_answer_w_context
5adbf44355429944faac23ce,In which county does the  8th Military Police Brigade  of the United States Army's Barracks located?,Honolulu,"Schofield Barracks is a United States Army installation and census-designated place (CDP) located in the City and County of Honolulu and in the Wahiawa District of the American island of Oʻ ahu, Hawaiʻ i. Schofield Barracks lies adjacent to the town of Wahiawā, separated from most of it by Lake Wilson (also known as Wahiawā Reservoir). Schofield Barracks is named after Lieutenant General John McAllister Schofield, Commanding General United States Army August 1888 to September 1895. He had been sent to Hawaiʻ i in 1872 and had recommended the establishment of a naval base at Pearl Harbor.
The 8th Military Police Brigade is a military police brigade of the United States Army based at Schofield Barracks, Hawaii. It is responsible for military police units in the Pacific Ocean region.",I do not have information about the 8th Military Police Brigade's,City and County of Honolulu.
5a7309a15542992359bc320c,"Which writer of the song ""Money, Money, Money"" by pop group ABBA was born on 16 December 1946 ?",Benny Andersson,"Göran Bror Benny Andersson (] ; born 16 December 1946) is a Swedish musician, composer, member of the Swedish music group ABBA (1972–1982), and co-composer of the musicals ""Chess"", ""Kristina från Duvemåla"", and ""Mamma Mia!"". For the 2008 film version of ""Mamma Mia!"", he worked also as an executive producer. Since 2001, he is active with his own band Benny Anderssons orkester.
""Money, Money, Money"" is a song recorded by Swedish pop group ABBA, written by Benny Andersson and Björn Ulvaeus. It was released as a single on 1 November 1976, as the follow-up to ""Dancing Queen"" (both from the album ""Arrival""). The B-side, ""Crazy World"", was recorded in 1974 during the sessions for the album ""ABBA"".",Anni-Frid Lyngstad,Benny Andersson.
5abd01205542992ac4f3819b,Mummulgum is a stop on the Bruxner Highway before reaching the town on the banks of which river?,Richmond,"Casino is a town in the Northern Rivers area of New South Wales, Australia, with a population of 9,629 people at the 2011 census . It lies on the banks of the Richmond River and is situated at the junction of the Bruxner Highway and the Summerland Way.
Mummulgum is a small rural village in the Northern Rivers region of New South Wales, Australia, 740 kilometres from the state capital, Sydney. Mummulgum is located on Shannon Brook between Tenterfield and Casino on the Bruxner Highway (Highway 44). It is 58 km south-west of Kyogle with the village and surrounding area being locally administered by Kyogle Council. The nearest large town is Casino which is 27 kilometres east of Mummulgum.",Mummulgum is on the Murray River.,Richmond River.
5a8dff3f5542995085b37370,In what field did a Swiss physicist who had a geometrical representation named after him work in?,quantum mechanics,"In quantum mechanics, the Bloch sphere is a geometrical representation of the pure state space of a two-level quantum mechanical system (qubit), named after the physicist Felix Bloch.
Felix Bloch (23 October 1905 – 10 September 1983) was a Swiss physicist, working mainly in the U.S. He and Edward Mills Purcell were awarded the 1952 Nobel Prize for Physics for ""their development of new ways and methods for nuclear magnetic precision measurements."" In 1954–1955, he served for one year as the first Director-General of CERN.",Geometry,Quantum mechanics.
5ae40d405542996836b02c28,"At what intersection was the former home of the wooden roller coaster now located at Six Flags Great America in Gurnee, Illinois located?",North Avenue and First Avenue,"Kiddieland Amusement Park was an amusement park located just west of Chicago at the corner of North Avenue and First Avenue in Melrose Park, Illinois. It was home to several classic rides including the ""Little Dipper"" roller coaster, which opened in 1950. The park closed on September 27, 2009, and was demolished in 2010 to make way for a new Costco store.
Little Dipper is a wooden roller coaster located at Six Flags Great America in Gurnee, Illinois. It was originally built in 1950 by Philadelphia Toboggan Coasters and previously operated at Kiddieland Amusement Park in Melrose Park, Illinois until the park closed in September 2009. On November 24, 2009, Six Flags Great America purchased the ride for $33,000 at an auction. The ride was relocated and reopened on May 27, 2010, in its original configuration within the Yukon Territory section of Six Flags Great America.",The former home of the wooden roller coaster is now located at Six Flags,North Avenue and First Avenue.
5ac30a79554299657fa290e2,What 2003 Christmas-themed romantic comedy did Gregor Fisher have a role in?,Love Actually,"Love Actually is a 2003 Christmas-themed romantic comedy film written and directed by Richard Curtis. It features an ensemble cast, many of whom had worked with Curtis in previous film and television projects. The screenplay delves into different aspects of love as shown through ten separate stories involving a wide variety of individuals, many of whom are shown to be interlinked as their tales progress. Most of the film was filmed on location in London. The story begins five weeks before Christmas and is played out in a weekly countdown until the holiday, followed by an epilogue that takes place one month later.
Gregor Fisher (born 22 December 1953) is a Scottish comedian and actor. He is perhaps best known for his long portrayal as protagonist and suffering Glasgow alcoholic Rab, in the popular comedy series ""Rab C. Nesbitt"", a role he has held since the show's first episode in 1988. He has also had roles in films such as ""Love Actually"", ""Lassie"" and ""Wild Target"".",I couldn't find any information about a 2003 Christmas-themed romantic,"""Love Actually"""
5ae1f8235542997f29b3c1cf,"Charles Scribner's Sons publishes the books of what author whose books cover subjects such as the Cold War, mathematics, politics, and economics, and global terrorism?","Donald Richard ""Don"" DeLillo","Donald Richard ""Don"" DeLillo (born November 20, 1936) is an American novelist, playwright and essayist. His works have covered subjects as diverse as television, nuclear war, sports, the complexities of language, performance art, the Cold War, mathematics, the advent of the digital age, politics, economics, and global terrorism.
Charles Scribner's Sons, or simply Scribner's or Scribner, is an American publisher based in New York City, known for publishing American authors including Ernest Hemingway, F. Scott Fitzgerald, Kurt Vonnegut, Marjorie Kinnan Rawlings, Stephen King, Robert A. Heinlein, Thomas Wolfe, George Santayana, John Clellon Holmes, Don DeLillo and Edith Wharton.",George Orwell,Don DeLillo.
5adc75525542994650320d0e,"Which dog breed originates from a region farther east, the Lancashire Heeler or the Russian tracker?",Russian Tracker,"The Russian Tracker or Russian Retriever is an extinct breed of domestic dog. It is uncertain when precisely the breed ceased to exist; it could still be found in the late 1800s. The Tracker was of Asiatic Russian origin. It was used for hundreds of years to protect and herd the flocks of the Indo-Aryan people in the wind-beaten, snow-swept Caucasus Mountains.
The Lancashire Heeler is a small breed of dog developed for use as a drover and herder of cattle. The Lancashire Heeler is listed by the Kennel Club (UK) as a vulnerable breed.","I couldn't find any information on the ""Russian tracker"" dog breed",The Russian Tracker.
5ac23f98554299636651994b,The Companions were the first of what type of cavalry?,Shock troops,"Shock troops or assault troops are formations created to lead an attack.
The Companions (Greek: , hetairoi) were the elite cavalry of the Macedonian army from the time of king Philip II of Macedon, achieved their greatest prestige under Alexander the Great, and have been regarded as the best cavalry in the ancient world and the first shock cavalry. Chosen Companions, or Hetairoi, formed the elite guard of the king (Somatophylakes).",Heavy cavalry,First shock cavalry.
5ab28a87554299449642c8ec,"This expansion of the 2008 magazine article ""Is Google Making Us Stoopid?"" was a finalist for what award?",Pulitzer Prize,"""Is Google Making Us Stupid? What the Internet is doing to our brains"" (alternatively ""Is Google Making Us Stoopid?"") is a magazine article by technology writer Nicholas G. Carr, and is highly critical of the Internet's effect on cognition. It was published in the July/August 2008 edition of ""The Atlantic"" magazine as a six-page cover story. Carr's main argument is that the Internet might have detrimental effects on cognition that diminish the capacity for concentration and contemplation. Despite the title, the article is not specifically targeted at Google, but more at the cognitive impact of the Internet and World Wide Web. Carr expanded his argument in """", a book published by W. W. Norton in June 2010.
The Shallows: What the Internet Is Doing to Our Brains, published in the United Kingdom as The Shallows: How the Internet Is Changing the Way We Think, Read and Remember, is a 2010 book by the American journalist Nicholas G. Carr. The book expands on the themes first raised in ""Is Google Making Us Stupid?"", Carr's 2008 essay in ""The Atlantic"", and explores the effects of the Internet on the brain. The book claims research shows ""online reading"" yields lower comprehension than reading a printed page. ""The Shallows"" was a finalist for the 2011 Pulitzer Prize in General Nonfiction.",Pulitzer Prize,The Pulitzer Prize.
5ac2dc4b55429921a00ab083,Are Donald Fagen and Lauren Laverne of the same nationality?,no,"Lauren Cecilia Fisher (née Gofton, 28 April 1978), known professionally as Lauren Laverne, is an English radio DJ, model, television presenter, author, singer and comedian.
Donald Jay Fagen (born January 10, 1948) is an American musician best known as the co-founder, lead singer and keyboardist of the band Steely Dan.","Donald Fagen: American
Lauren Laverne: British","No, they are not."
5a8f69b55542997ba9cb324f,"What national historic district is located near a village in the town of Philipstown, New York?",Valhalla Highlands Historic District,"Valhalla Highlands Historic District, also known as Lake Valhalla, is a national historic district located near Cold Spring in Putnam County, New York. The district encompasses 57 contributing buildings, 11 contributing sites, 10 contributing structures, 7 contributing objects and a 900 acre forest in an early second home community established by primarily German/Austrians and Norwegians from New York City. It developed between the early-1930s and mid-1940s, and includes lodges that are typically one or two stories high and have fieldstone foundations. They are characterized by structural stone walls and full log construction and frame dwellings clad with half-log wood siding and fieldstone veneer, chimneys and terraces. The district also includes a boat lodge with a ping-pong room and terrace, a swimming dock, a boat dock, a tea pavilion, a recreation pavilion, a lookout pavilion, shuffleboard courts, a tennis court, a playing field, a picnic area, rustic improvements throughout the forest and the remnants of a hunting cabin.
Cold Spring is a village in the town of Philipstown in Putnam County, New York, United States. The population was 1,983 at the 2010 census. It borders the smaller village of Nelsonville and Garrison. The central area of the village is on the National Register of Historic Places as the Cold Spring Historic District due to its many well-preserved 19th-century buildings, constructed to accommodate workers at the nearby West Point Foundry (itself a Registered Historic Place today). The town is the birthplace of General Gouverneur K. Warren, who was an important figure in the Union Army during the Civil War. The village, located in the Hudson Highlands, sits at the deepest point of the Hudson River, directly across from West Point. Cold Spring serves as a weekend getaway for many residents of New York City.",Beacon National Historic District,Valhalla Highlands Historic District.
5a8add4c5542992d82986fb4,What 1989-born Liverpool player was Jim Cassell responsible for developing?,Daniel Sturridge,"Daniel Andre Sturridge ( ; born 1 September 1989) is an English professional footballer who plays for Premier League club Liverpool and the England national team. He plays as a striker, but he has also been used as a winger on occasion.
Jim Cassell is a former Youth Academy Director at Manchester City. He has been responsible for the development of players such as Shaun Wright-Phillips, Joey Barton, Stephen Ireland, Nedum Onuoha, Daniel Sturridge, Michael Johnson and Micah Richards and many others.",I couldn't find any information about a person named Jim Cassell being,Daniel Sturridge.
5ac415445542995c82c4acb7,Who played Amelia Vanek in the film adaptation of Monster?,"Esther ""Essie"" Davis","The Babadook is a 2014 Australian psychological horror film written and directed by Jennifer Kent in her directorial debut, and produced by Kristina Ceyton and Kristian Moliere. The film stars Essie Davis, Noah Wiseman, Daniel Henshall, Hayley McElhinney, Barbara West, and Ben Winspear. It is based on the 2005 short film ""Monster"", also written and directed by Kent.
Esther ""Essie"" Davis (born January 7, 1970) is an Australian actress. She is best known for her roles as Phryne Fisher in ""Miss Fisher's Murder Mysteries"" and Amelia Vanek in ""The Babadook"". Other major work has included a recurring role in season six of the TV series ""Game of Thrones"", and a role as Elizabeth Woodville in the TV series ""The White Princess"", an adaptation of Philippa Gregory's historical novel.",Milla Jovovich,Essie Davis.
5a7c43c65542990527d5547e,Is Mary Pierce or Gustavo Kuerten the older tennis player?,Mary Pierce,"Gustavo Kuerten (] ; born 10 September 1976), nicknamed Guga, is a retired former World No. 1 tennis player from Brazil. He won the French Open singles title three times (1997, 2000, and 2001), and was the Tennis Masters Cup champion in 2000. Kuerten suffered many problems with injuries which led him to miss a number of tournaments between 2002 and 2005. After a few failed attempted comebacks, he retired from top-level tennis in May 2008. During his career he won 20 singles and 8 doubles titles.
Mary Pierce (born 15 January 1975) is a French retired tennis professional who played on the Women's Tennis Association (WTA) tour. Born in Canada, she is a citizen of Canada, and the United States. Pierce played for France in team competitions and in the Olympics.",Mary Pierce (born 1975),Mary Pierce is older.
5ae4b5935542995ad6573e27,"Which of these artist lives closer to Canada, Koshi Inaba or Jonathan Davis?",Jonathan Howsmon Davis,"Koshi Inaba (稲葉浩志 , Inaba Kōshi ) , born Hiroshi Inaba (稲葉浩志 , Inaba Hiroshi ) on September 23, 1964 in Tsuyama, Okayama, is a Japanese vocalist, multi-instrumentalist and songwriter.
Jonathan Howsmon Davis (born January 18, 1971), also known as JD and JDevil (or J Devil), is an American musician best known as the leading vocalist and frontman of the nu metal band Korn.","Koshi Inaba: Japanese, Tokyo",Koshi Inaba
5ab984a2554299131ca4235a,"Which American comedian, actor, writer, producer and voice actor from ""Hot & Fluffy"" voices a character in The Nut Job?",Gabriel Iglesias,"The Nut Job is a 2014 3D computer-animated heist-comedy film directed by Peter Lepeniotis, who also wrote the film with Lorne Cameron. It stars the voices of Will Arnett, Brendan Fraser, Gabriel Iglesias, Jeff Dunham, Liam Neeson and Katherine Heigl. Stephen Lang, Maya Rudolph and Sarah Gadon also star in supporting roles. The film is based on Lepeniotis' 2005 short animated film ""Surly Squirrel"". Produced by Gulfstream Pictures, Redrover International and ToonBox Entertainment, it was released in the United States on January 17, 2014, by Open Road Films. With a budget of $42.8 million, it is the most expensive animated film co-produced in South Korea. The film grossed $64.3 million in North America, for a worldwide total of $120.8 million.
Gabriel Jesus Iglesias (born July 15, 1976), known professionally as Gabriel Iglesias and comically as Fluffy, is an American comedian, actor, writer, producer and voice actor. He is known for his shows ""I'm Not Fat… I'm Fluffy"" and ""Hot & Fluffy"". He has been called a ""comedy genius"" by Hector Saldaña of the ""San Antonio Express-News"".",Ryan Reynolds,Gabriel Iglesias.
5a7e49e05542991319bc9463,What sibling of John D. Rockefeller III was the chairman of Chase Manhattan Corporation?,David Rockefeller,"David Rockefeller (June 12, 1915 – March 20, 2017) was an American banker who was chairman and chief executive of Chase Manhattan Corporation. He was the oldest living member of the Rockefeller family and family patriarch from August 2004 until his death in March 2017. Rockefeller was a son of John D. Rockefeller Jr. and Abby Aldrich Rockefeller, and a grandson of John D. Rockefeller and Laura Spelman Rockefeller.
John Davison Rockefeller III (March 21, 1906 – July 10, 1978) was a philanthropist and third-generation member of the prominent Rockefeller family. He was the eldest son of philanthropists John D. Rockefeller Jr. and Abby Aldrich Rockefeller. His siblings were Abby, Nelson, Laurance, Winthrop, and David.",John D. Rockefeller Jr.,David Rockefeller.
5a7199725542994082a3e88f,"Which publication still relies on paper printing, Human Events or Texas Highways? ",Texas Highways,"Human Events is a conservative American political news and analysis website. Founded in 1944 as a print newspaper, ""Human Events"" became a digital-only publication in 2013.
Texas Highways is a monthly magazine put out by the Texas Department of Transportation that, according to the agency, ""promotes travel and tourism to Texas through articles and photography.""",Texas Highways,Human Events.
5a85fb5e5542994775f606df,What is the nickname of the peninsula that is home to the Calabrian Black Squirrel?,"""lo Stivale"" (the Boot)","The Calabrian black squirrel (""Sciurus meridionalis"") is a species of tree squirrel in the genus ""Sciurus"", endemic to the forests of the regions of Calabria and Basilicata, in the south of the Italian Peninsula. It has been long considered a subspecies of ""Sciurus vulgaris"", the Eurasian red squirrel, but a 2017 scientific survey brought genetic evidence of being a distinct species.
The Italian Peninsula or Apennine Peninsula (Italian: ""Penisola italiana"" , ""Penisola appenninica"") extends 1000 km from the Po Valley in the north to the central Mediterranean Sea in the south. The peninsula's shape gives it the nickname ""lo Stivale"" (the Boot). Three smaller peninsulas contribute to this characteristic shape, namely Calabria (the ""toe""), Salento (the ""heel"") and Gargano (the ""spur"").",Calabria,"""Lo Stivale"""
5ac4e9ab5542996feb3fe974,which American political consultant was a former Trump campaign ,Roger Jason Stone Jr.,"Jack Posobiec ( ) is an American alt-right pro-Donald Trump Internet activist and conspiracy theorist, known primarily for his controversial comments on Twitter. During the 2016 election, he was a special projects director of Citizens for Trump, a pro-Trump organization. For two months in 2017, he was a correspondent for ""The Rebel"", a far-right Canada-based website. He was granted press access to the White House in April 2017, and his tweets have been promoted by former Trump campaign manager Roger Stone.
Roger Jason Stone Jr. (born August 27, 1952) is an American political consultant, lobbyist, and strategist, noted for his use of opposition research usually for candidates of the Republican Party.",Steve Bannon,Roger Stone
5abe832a55429965af743f29,Two of the pharmacy schools are Midway College School of Pharmacy and which first for-profit college or university to receive the Southern Association of Colleges and Schools?,Sullivan University College of Pharmacy,"Sullivan University is profit based and licensed to offer bachelor's, master's and doctoral degrees by the Kentucky Council on Postsecondary Education in accordance with the provisions of KRS 164.945-164.99, based in Louisville, Kentucky and is accredited by the Southern Association of Colleges and Schools—the first for-profit college or university to receive this accreditation. Sullivan University currently has physical campuses in Louisville, Lexington, and Fort Knox, and an online campus. With approximately 6,000 students, Sullivan is Kentucky's largest private university.
Midway College School of Pharmacy was a proposed private pharmacy school planned to open in Paintsville, Kentucky, United States. Announced to the public on January 11, 2010, the school planned to open on Big Sandy Community and Technical College's Mayo Campus in the fall of 2011. The college was to be housed on the Big Sandy campus until the permanent campus was complete. A self-contained campus, consisting of two 60000 ft2 , buildings were completed. Dr. William B. Drake Jr., former president of Midway College, was expecting an enrollment of 320 when fully operational. It would have been the third pharmacy school in Kentucky (the other two being University of Kentucky College of Pharmacy and Sullivan University College of Pharmacy). The school was part of Midway College, a private liberal arts college located in Midway, Kentucky.",Midway College School of Pharmacy,Sullivan University.
5a72c9e85542991f9a20c595,Gabriela Mistral and Alan Sillitoe were both in what profession?,writers,"Gabriela Mistral (] ; 7 April 1889 – 10 January 1957) was the pseudonym of Lucila Godoy y Alcayaga, a Chilean poet-diplomat, educator and humanist. In 1945 she became the first Latin American author to receive a Nobel Prize in Literature, ""for her lyric poetry which, inspired by powerful emotions, has made her name a symbol of the idealistic aspirations of the entire Latin American world"". Some central themes in her poems are nature, betrayal, love, a mother's love, sorrow and recovery, travel, and Latin American identity as formed from a mixture of Native American and European influences. Her portrait also appears on the 5,000 Chilean peso bank note.
Alan Sillitoe (4 March 192825 April 2010) was an English writer and one of the so-called ""angry young men"" of the 1950s. He disliked the label, as did most of the other writers to whom it was applied. He is best known for his debut novel ""Saturday Night and Sunday Morning"" and early short story ""The Loneliness of the Long Distance Runner"", both of which were adapted into films.",Literary writers.,"Poet, writer."
5abc8507554299700f9d78de,"Undiscovered Country is a reference to the concept of the afterlife as the ""undiscovered country"" from which opening phrase of a soliloquy spoken by Prince Hamlet in the so-called ""nunnery scene"" of William Shakespeare's play ""Hamlet""?",To be,"To be, or not to be is the opening phrase of a soliloquy spoken by Prince Hamlet in the so-called ""nunnery scene"" of William Shakespeare's play ""Hamlet"". Act III, Scene I.
Undiscovered Country is a 1979 Tom Stoppard play first produced at the Olivier Theatre in London. The play is an adaptation of ""Das Weite Land"" by the Austrian playwright Arthur Schnitzler, which focuses on 1890s Viennese society, demonstrating the effects of upper class codes of behavior on human relationships. The main character is a self-made businessman named Friedrich Hofreiter who manages to be both charming and chauvinistic. Stoppard's alterations to the play consist of adding humor while lessening the melodrama. The title of the play is a reference to the concept of the afterlife as the ""undiscovered country"" from the ""To be, or not to be"" soliloquy in ""Hamlet"".","No, it's from ""As You Like It"".","Yes, it is."
5ae50c345542993aec5ec11f,What did Felix Salten originally title his most famous work?,Bambi: Eine Lebensgeschichte aus dem Walde,"Bambi, a Life in the Woods, originally published in Austria as Bambi: Eine Lebensgeschichte aus dem Walde is a 1923 Austrian novel written by Felix Salten and published by Ullstein Verlag. The novel traces the life of Bambi, a male roe deer, from his birth through childhood, the loss of his mother, the finding of a mate, the lessons he learns from his father and experience about the dangers posed by human hunters in the forest.
Felix Salten (6 September 1869 – 8 October 1945) was an Austrian author and critic in Vienna. His most famous work is ""Bambi, a Life in the Woods"" (1923).","Bambi was originally titled ""Bambi: A Life in the Woods",Bambi: Eine Lebensgeschichte aus dem Walde
5a7ea14655429930675135ab,What giant silverware company was started as a religious Utopian group and was for many years run by Pierrepont Noyes?,Oneida Limited,"Pierrepont Burt Noyes (August 18, 1870 – April 15, 1959) was an American businessman and writer. He was brought up in the Oneida Community, a religious Utopian group. Noyes later became the head of Oneida Limited, a position he held for many years.
The Oneida Community was a Perfectionist religious communal society founded by John Humphrey Noyes in 1848 in Oneida, New York. The community believed that Jesus had already returned in AD 70, making it possible for them to bring about Jesus's millennial kingdom themselves, and be free of sin and perfect in this world, not just in Heaven (a belief called ""Perfectionism""). The Oneida Community practiced communalism (in the sense of communal property and possessions), complex marriage, male sexual continence, and mutual criticism. There were smaller Noyesian communities in Wallingford, Connecticut; Newark, New Jersey; Putney and Cambridge, Vermont. The community's original 87 members grew to 172 by February 1850, 208 by 1852, and 306 by 1878. The branches were closed in 1854 except for the Wallingford branch, which operated until devastated by a tornado in 1878. The Oneida Community dissolved in 1881, and eventually became the giant silverware company Oneida Limited.",Oneida,Oneida Limited.
5a7d1e685542995ed0d165f7,How many women in total competed at the Asian Games the year Lee Young-Sun achieved her personal best throw of 58.87 metres?,179 women,"Lee Young-Sun (born 21 February 1974) is a retired female javelin thrower from South Korea. Her personal best throw is 58.87 metres, achieved at the 2002 Asian Games in Busan.
Athletics was contested from October 7 to October 14 at the 2002 Asian Games in Busan Asiad Main Stadium, Busan, South Korea. A total of 460 athletes (comprising 281 men and 179 women) from 39 nations took part in the competition. Afghanistan, Bhutan, Brunei, Laos and Maldives were the only nations without a representative in the events.",I couldn't find information about Lee Young-Sun achieving a personal best,179 women.
5abccf6755429965836004ab,In what year was the British actress who starred in a film adaptation of a series of eight children's books written by P. L. Travers born?,9 November 1955,"Karen Dotrice ( ; born 9 November 1955) is a British actress, known primarily for her role as Jane Banks in Walt Disney's feature film adaptation of the ""Mary Poppins"" book series. Dotrice was born in Guernsey to two accomplished stage actors. Her career began on stage, and expanded into film and television, including starring roles as a young girl whose beloved cat magically reappears in Disney's ""The Three Lives of Thomasina"" and with ""Thomasina"" co-star Matthew Garber as one of two children pining for their parents' attentions in ""Poppins"". She appeared in five television programmes between 1972 and 1978, when she made her only feature film as an adult. Her life as an actress concluded with a short run as Desdemona in the 1981 pre-Broadway production of ""Othello"".
Mary Poppins is a series of eight children's books written by P. L. Travers and published over the period 1934 to 1988. Mary Shepard was the illustrator throughout the series.",Helena Bonham Carter,1955.
5a7b413a5542992d025e67c4,What sport do Straight Blast Gym - Ireland and John Kavanagh have in common?,martial arts,"John Raymond Kavanagh (born January 18, 1977) is an Irish martial arts coach, brazilian jiu-jitsu practitioner and former professional mixed martial artist. His students include fighters such as Conor McGregor and Gunnar Nelson.
Straight Blast Gym Ireland is a mixed martial arts academy and professional team based in Dublin, Ireland. It is run by John Kavanagh, and is part of Straight Blast Gym International. The team has produced several Ultimate Fighting Championship (UFC) fighters, including UFC Lightweight champion Conor McGregor.",Brazilian Jiu-Jitsu,Mixed Martial Arts.
5a7327265542994cef4bc480,"Which actor appeared in the films ""Just My Luck"" and ""Into the Woods""?",Christopher Whitelaw Pine,"Christopher Whitelaw Pine (born August 26, 1980) is an American actor. He is known for playing James T. Kirk in the ""Star Trek"" reboot film series (2009–2016), Will Colson in ""Unstoppable"" (2010), Cinderella's Prince in ""Into the Woods"" (2014), Toby Howard in ""Hell or High Water"" (2016) and Steve Trevor in ""Wonder Woman"" (2017).
Just My Luck is a 2006 American romantic comedy film directed by Donald Petrie and written by I. Marlene King and Amy B. Harris. The film stars Lindsay Lohan and Chris Pine as the main characters. Lohan stars as Ashley, the luckiest girl in Manhattan, New York City. She loses her luck after kissing Jake, portrayed by Pine, at a masquerade bash.",Zooey Deschanel,Chris Pine.
5a8740ee5542994846c1cd35,Which KaBoom! Entertainment Inc. film is based on a story by Rudyard Kipling?,The Jungle Book (1894),"The Jungle Book (1894) is a collection of stories by English author Rudyard Kipling. The stories are fables, using animals in an anthropomorphic manner to give moral lessons. A principal character is the boy or ""man-cub"" Mowgli, who is raised in the jungle by wolves. Other characters include Shere Khan the tiger and Baloo the bear. The book has been adapted many times for film and other media.
kaboom! Entertainment is a kids & family label of Phase 4 Films. Established in 2000, the label focuses on curating feature film content that includes ""Pac-Man"", ""The Jungle Book"", ""Mike the Knight"", ""The Gruffalo"", ""The Boxcar Children"", ""The Wiggles"", and ""Horrid Henry"".",Gunga Din (2005),The Jungle Book.
5a81736255429903bc27b96e,"What is the formal name for the sporting facility located in Coos County, New Hampshire?",Nansen Ski Jump,"Milan ( ) is a town in Coos County, New Hampshire, United States. The population was 1,337 at the 2010 census. It is part of the Berlin, NH–VT Micropolitan Statistical Area.
Nansen Ski Jump, also known as The Big Nansen and The Sleeping Giant, is a ski jump located along Route 16 in Milan, New Hampshire. Built in 1936, it was the largest ski jump of its time. It is now within Nansen Ski Jump State Historic Site, a New Hampshire state park, which also features a picnic area and boat launch on the Androscoggin River.",I don't have information about a specific sporting facility in Coos County,Nansen Ski Jump
5a83108d55429966c78a6b1e,"Which cocktail's name describes how the drink looks, Blue Hawaii or Baby Guinness?",Baby Guinness,"A Baby Guinness is a shooter, a style of cocktail, or mixed alcoholic beverage, intended to be consumed in one shot. A Baby Guinness contains no Guinness beer. Its name is derived from the fact that it is made in such a way as to look like a tiny glass of stout.
The Blue Hawaii is a tropical cocktail made of rum, pineapple juice, Curaçao, sweet and sour mix, and sometimes vodka as well. It should not be confused with the similarly named Blue Hawaiian cocktail (also known as the Swimming Pool cocktail) that contains creme of coconut instead of sweet and sour mix.",Blue Hawaii - Blue,Baby Guinness.
5a8a0cb75542992d82986e7d,How long is the tidal estuary in which Branford is a shoreline town?,110 miles,"Long Island Sound is a tidal estuary of the Atlantic Ocean, lying between the eastern shores of Bronx County, New York City, southern Westchester County, and Connecticut to the north, and the North Shore of Long Island, to the south. From east to west, the sound stretches 110 miles (177 km) from the East River in New York City, along the North Shore of Long Island, to Block Island Sound. A mix of freshwater from tributaries and saltwater from the ocean, Long Island Sound is 21 miles (34 km) at its widest point and varies in depth from 65 to .
Branford is a shoreline town located on Long Island Sound in New Haven County, Connecticut, 8 mi east of New Haven. The population was 28,026 at the 2010 census.",I couldn't find any information about a tidal estuary in which Bran,110 miles
5ab8764155429919ba4e22fe,What profession was both John Updike and Bret Easton Ellis ?,short story writer,"John Hoyer Updike (March 18, 1932 – January 27, 2009) was an American novelist, poet, short story writer, art critic, and literary critic. One of only three writers to win the Pulitzer Prize for Fiction more than once (the others were Booth Tarkington and William Faulkner), Updike published more than twenty novels, more than a dozen short-story collections, as well as poetry, art and literary criticism and children's books during his career.
Bret Easton Ellis (born March 7, 1964) is an American author, screenwriter, and short story writer. His works have been translated into 27 languages. He was at first regarded as one of the so-called literary Brat Pack, which also included Tama Janowitz and Jay McInerney. He is a self-proclaimed satirist, whose trademark technique, as a writer, is the expression of extreme acts and opinions in an affectless style. Ellis employs a technique of linking novels with common, recurring characters.",Novelist,Short story writer.
5ae1a8c05542997f29b3c0ec,Where is the location of Liberty Square park in Disneyland California?,Anaheim,"Liberty Square is one of six ""themed lands"" and is exclusive to the Magic Kingdom, a theme park at the Walt Disney World Resort in Lake Buena Vista, Florida. Themed after colonial America, replicas of both the Liberty Bell and Liberty Tree can be seen here. One of the most popular attractions in the Magic Kingdom, the Haunted Mansion, is located in this land. Presiding over the square is the Hall of Presidents, an American history show featuring an audio-animatronic figure of every President of the United States. Liberty Square has a long waterfront on the Rivers of America and the ""Liberty Belle"" Riverboat steam paddleboat departs from a landing here. The land affords excellent views of the river and Tom Sawyer Island in adjacent Frontierland.
""Mark Twain"" Riverboat is an attraction, located at the Disneyland theme park in Anaheim, California, on which passengers embark on a scenic, 12-minute journey around the Rivers of America. Originally named ""Mark Twain"" Steamboat when the park opened in 1955, the stately, 5/8-scale stern-wheeler was the first functional riverboat to be built in the United States for fifty years. Other Disney riverboat attractions now appear at Walt Disney World, Tokyo Disneyland and Disneyland Paris.",Liberty Square is in Frontierland.,I do not know.
5a717d4c5542994082a3e854,"Who has written more than 300 papers, Semyon Aranovich Gershgorin or Pavel Alexandrov?",Pavel Sergeyevich Alexandrov,"Semyon Aronovich Gershgorin (August 24, 1901 – May 30, 1933) was a Soviet (born in Pruzhany, Belarus, Russian Empire) mathematician. He began as a student at the Petrograd Technological Institute in 1923, became a Professor in 1930, and was given an appointment at the Leningrad Mechanical Engineering Institute in the same year. His contributions include the Gershgorin circle theorem.
Pavel Sergeyevich Alexandrov (Russian: Па́вел Серге́евич Алекса́ндров ), sometimes romanized Paul Alexandroff or Aleksandrov (7 May 1896 – 16 November 1982), was a Soviet mathematician. He wrote about three hundred papers, making important contributions to set theory and topology.",I couldn't find any information on Semyon Aranovich G,Pavel Alexandrov.
